rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
23,2023,Subaru,Forester,touring,3,31995,No change noted,Unchanged for 3 weeks,3,31995,31995,0,0,78023,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1736553513,https://www.kijiji.ca/v-cars-trucks/calgary/2023-subaru-forester-touring-moonroof/1736553513,0.47842165011041266,Kijiji
24,2019,Subaru,Forester,sport,2,19999,No change noted,First seen this week,0,19999,19999,0,0,136355,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738707031,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-subaru-forester-2-5i-sport-w-eyesight-pkg/1738707031,0.48001642763885133,Kijiji
25,2023,Subaru,Forester,touring,3,26995,No change noted,"Down $1,000 over 3 weeks",3,27995,27995,-1000,-1000,137017,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735350478,https://www.kijiji.ca/v-cars-trucks/kingston-on/2023-subaru-forester-touring-moonroof-eye-sight-package/1735350478,0.4888883795101877,Kijiji
26,2019,Subaru,Forester,limited,2,23498,No change noted,Unchanged for 3 weeks,3,23498,23498,0,0,102741,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",242,address,1733736387,https://www.kijiji.ca/v-cars-trucks/banff-canmore/2019-subaru-forester-2-5i-limited-awd-coming-soon-clean-c/1733736387,0.4919041348561478,Kijiji
27,2020,Subaru,Forester,Unknown,1,19500,No change noted,Unchanged for 1 weeks,1,19500,19500,0,0,72935,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736743538,https://www.kijiji.ca/v-cars-trucks/moncton/2020-subaru-forester/1736743538,0.4929140365236695,Kijiji
28,2023,Subaru,Forester,sport,2,27126,No change noted,"Down $1,815 over 3 weeks",3,28941,28942,-1816,-1815,59594,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736166831,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-sport-eyesight-cvt/1736166831,0.49688555801514694,Kijiji
29,2023,Subaru,Forester,limited,2,32888,No change noted,Unchanged for 2 weeks,2,32888,32888,0,0,8801,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1738163869,https://www.kijiji.ca/v-cars-trucks/calgary/2023-subaru-forester-limited-only-8-000-km/1738163869,0.5027526959174455,Kijiji
30,2022,Subaru,Forester,limited,2,32110,No change noted,Up $611 over 3 weeks,3,31499,32110,0,611,46497,Unknown,Gas,Unknown,N/A,Unknown,Private,"Sylvan Lake, AB","Sylvan Lake, AB",25,address,1734066815,https://www.kijiji.ca/v-cars-trucks/windsor-area-on/2022-subaru-forester-limited-sunroof-awd-heated-front/1734066815,0.5032085602985162,Kijiji
31,2022,Subaru,Forester,sport,2,29293,No change noted,Down $200 over 2 weeks,2,29493,29493,-200,-200,40578,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736364510,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-subaru-forester-sport-camera-de-recul-banc-chauffant-t/1736364510,0.5058434581380071,Kijiji
32,2023,Subaru,Forester,wilderness,3,36388,No change noted,Unchanged for 3 weeks,3,36388,36388,0,0,30552,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1731901124,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-subaru-forester-wilderness/1731901124,0.5064291667624932,Kijiji
33,2024,Subaru,Forester,touring,3,35610,No change noted,Unchanged for 1 weeks,1,35610,35610,0,0,61159,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1738250143,https://www.kijiji.ca/v-cars-trucks/calgary/2024-subaru-forester-touring/1738250143,0.5065233604022726,Kijiji
34,2020,Subaru,Forester,limited,2,24995,No change noted,"Down $1,000 over 1 weeks",1,25995,25995,-1000,-1000,130400,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1738417932,https://www.kijiji.ca/v-cars-trucks/calgary/2020-subaru-forester-limited/1738417932,0.5164710449071851,Kijiji
