rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2019,Subaru,Forester,touring,3,21809,No change noted,"Down $1,180 over 2 weeks",2,22989,22989,-1180,-1180,108000,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1737165785,https://www.kijiji.ca/v-cars-trucks/st-albert/2019-subaru-forester-2-5i-touring-w-eyesight-pkg-for-sale/1737165785,0.38183963346354965,Kijiji
2,2021,Subaru,Forester,touring,3,26899,No change noted,Unchanged for 2 weeks,2,26899,26899,0,0,49574,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",242,address,1737660548,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-subaru-forester-2-5i-touring/1737660548,0.41015399182157614,Kijiji
3,2022,Subaru,Forester,touring,3,22301,No change noted,Down $800 over 2 weeks,2,23101,23101,-800,-800,112038,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737504633,https://www.kijiji.ca/v-cars-trucks/moncton/2022-subaru-forester-touring-awd-back-up-camera-heated-seats/1737504633,0.4105347572156395,Kijiji
4,2023,Subaru,Forester,touring,3,27588,No change noted,Unchanged for 2 weeks,2,27588,27588,0,0,46548,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1733601311,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-subaru-forester-touring-touring-one-owner-low-km-a/1733601311,0.41568619999807155,Kijiji
5,2023,Subaru,Forester,touring,3,23998,No change noted,Unchanged for 2 weeks,2,23998,23998,0,0,106000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737294225,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2023-subaru-forester-touring-carfax-power-seat-sunroof-awd/1737294225,0.42540914635678556,Kijiji
6,2019,Subaru,Forester,Unknown,1,6375,No change noted,First seen this week,0,6375,6375,0,0,175000,2.0L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738425177,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2019-hyundai-elantra-2-0l-4-cyl-manual-6-speed/1738425177,0.4264978199516316,Kijiji
7,2023,Subaru,Forester,touring,3,30762,No change noted,Down $533 over 2 weeks,2,31295,31295,-533,-533,23776,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736385020,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-eyesight-cvt/1736385020,0.43337767289169576,Kijiji
8,2023,Subaru,Forester,touring,3,32198,No change noted,"Down $1,145 over 2 weeks",2,33343,33343,-1145,-1145,10163,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737925470,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-cvt/1737925470,0.43846066313560234,Kijiji
9,2021,Subaru,Forester,touring,3,19995,No change noted,Unchanged for 1 weeks,1,19995,19995,0,0,191850,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737823176,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-touring-awd-clean-loaded-new-inspecti/1737823176,0.45350928623978637,Kijiji
10,2024,Subaru,Forester,touring,3,31495,No change noted,First seen this week,0,31495,31495,0,0,38476,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738532943,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2024-subaru-forester-touring-carplay-bancs-chauffants/1738532943,0.45507529093084625,Kijiji
11,2023,Subaru,Forester,touring,3,32150,No change noted,First seen this week,0,32150,32150,0,0,30038,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738400696,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-cvt/1738400696,0.45542713407531854,Kijiji
12,2021,Subaru,Forester,touring,3,22995,No change noted,Unchanged for 2 weeks,2,22995,22995,0,0,154400,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737713877,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-2-5i-touring-awd-clean-loaded-priced/1737713877,0.45617731601986455,Kijiji
13,2023,Subaru,Forester,touring,3,26500,No change noted,Unchanged for 2 weeks,2,26500,26500,0,0,113935,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1731571251,https://www.kijiji.ca/v-cars-trucks/ottawa/2023-subaru-forester-touring/1731571251,0.46219678429638333,Kijiji
14,2019,Subaru,Forester,convenience,1,17900,No change noted,Unchanged for 2 weeks,2,17900,17900,0,0,90000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1737178689,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester-convenience-awd/1737178689,0.4709472560457485,Kijiji
15,2019,Subaru,Forester,limited,2,23498,No change noted,First seen this week,0,23498,23498,0,0,102741,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738178734,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester-limited/1738178734,0.4738328994865426,Kijiji
16,2020,Subaru,Forester,limited,2,14950,No change noted,First seen this week,0,14950,14950,0,0,199201,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738504326,https://www.kijiji.ca/v-cars-trucks/cambridge/2020-subaru-forester-limited-safety-certified-one-owner/1738504326,0.4749363586217809,Kijiji
17,2019,Subaru,Forester,sport,2,23995,No change noted,Down $500 over 2 weeks,2,24495,24495,-500,-500,78290,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736870452,https://www.kijiji.ca/v-cars-trucks/granby/2019-subaru-forester-sport-2-5i-awd/1736870452,0.47592184990987263,Kijiji
18,2022,Subaru,Forester,sport,2,25775,No change noted,"Down $1,133 over 2 weeks",2,26908,26908,-1133,-1133,54481,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735400798,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-subaru-forester-sport-eyesight-cvt/1735400798,0.47610302549854516,Kijiji
19,2019,Subaru,Forester,limited,2,23498,No change noted,Unchanged for 2 weeks,2,23498,23498,0,0,102741,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Sherwood Park, AB","Sherwood Park, AB",162,address,1733736387,https://www.kijiji.ca/v-cars-trucks/banff-canmore/2019-subaru-forester-2-5i-limited-awd-coming-soon-clean-c/1733736387,0.47631381551707697,Kijiji
20,2022,Subaru,Forester,touring,3,26995,No change noted,Unchanged for 2 weeks,2,26995,26995,0,0,123337,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735599733,https://www.kijiji.ca/v-cars-trucks/hamilton/2022-subaru-forester-touring-awd-no-accidents/1735599733,0.47638606061930505,Kijiji
21,2023,Subaru,Forester,touring,3,31995,No change noted,Unchanged for 2 weeks,2,31995,31995,0,0,78023,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1736553513,https://www.kijiji.ca/v-cars-trucks/calgary/2023-subaru-forester-touring-moonroof/1736553513,0.4781762500646892,Kijiji
