rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2019,Subaru,Forester,touring,3,21900,No change noted,First seen this week,0,21900,21900,0,0,64868,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739713057,https://www.kijiji.ca/v-cars-trucks/calgary/2021-subaru-forester-touring-64k/1739713057,0.35424036811245163,Kijiji
2,2019,Subaru,Forester,touring,3,24988,No change noted,Unchanged for 1 weeks,1,24988,24988,0,0,64953,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1739500435,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2019-subaru-forester-2-5i-touring-touring-64-000km-low-mile/1739500435,0.40883999290760853,Kijiji
3,2021,Subaru,Forester,touring,3,26499,No change noted,Down $400 over 7 weeks,7,26899,26899,-400,-400,49574,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737660548,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-subaru-forester-2-5i-touring/1737660548,0.41140572755884564,Kijiji
4,2021,Subaru,Forester,touring,3,23500,No change noted,Unchanged for 2 weeks,2,23500,23500,0,0,85985,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1739112050,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-subaru-outback-touring-eyesight-cvt-awd/1739112050,0.4122178260712217,Kijiji
5,2023,Subaru,Forester,touring,3,23998,No change noted,Unchanged for 7 weeks,7,23998,23998,0,0,106000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737294225,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2023-subaru-forester-touring-carfax-power-seat-sunroof-awd/1737294225,0.4382213223120281,Kijiji
6,2019,Subaru,Forester,touring,3,25110,No change noted,Unchanged for 3 weeks,3,25110,25110,0,0,111746,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739060814,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester/1739060814,0.4394759029509407,Kijiji
7,2021,Subaru,Forester,touring,3,27067,No change noted,First seen this week,0,27067,27067,0,0,73988,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1739780400,https://www.kijiji.ca/v-cars-trucks/ottawa/2021-subaru-forester-touring-cvt/1739780400,0.44265467179671075,Kijiji
8,2019,Subaru,Forester,Unknown,1,6375,No change noted,Unchanged for 4 weeks,4,6375,6375,0,0,175000,2.0L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738425177,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2019-hyundai-elantra-2-0l-4-cyl-manual-6-speed/1738425177,0.44760287663283826,Kijiji
9,2020,Subaru,Forester,touring,3,24900,No change noted,Unchanged for 6 weeks,6,24900,24900,0,0,107336,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1732945400,https://www.kijiji.ca/v-cars-trucks/st-catharines/2020-subaru-forester-2-5i-touring/1732945400,0.4503006489079363,Kijiji
10,2023,Subaru,Forester,touring,3,24552,No change noted,"Down $1,948 over 7 weeks",7,26500,25900,-1348,-1948,113935,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1731571251,https://www.kijiji.ca/v-cars-trucks/ottawa/2023-subaru-forester-touring/1731571251,0.45277582315679005,Kijiji
11,2021,Subaru,Forester,touring,3,32999,No change noted,First seen this week,0,32999,32999,0,0,33987,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1739637777,https://www.kijiji.ca/v-cars-trucks/edmonton/2021-subaru-forester-touring-sunroof-heated-seats/1739637777,0.4563688822277603,Kijiji
12,2023,Subaru,Forester,limited,2,29999,No change noted,"Down $2,889 over 6 weeks",6,32888,29999,0,-2889,8801,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1738163869,https://www.kijiji.ca/v-cars-trucks/calgary/2023-subaru-forester-limited-only-8-000-km/1738163869,0.46943562730363425,Kijiji
