rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2022,Subaru,Forester,touring,3,26888,No change noted,Unchanged for 2 weeks,2,26888,26888,0,0,32750,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1727499601,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2022-subaru-forester-touring-pkg-blind-spot-monitor-reverse/1727499601,0.3953184902533639,Kijiji,No,,,
2,2021,Subaru,Forester,touring,3,23500,No change noted,First seen this week,0,23500,23500,0,0,85985,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1739112050,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-subaru-outback-2-5i-touring/1739112050,0.40212288930876827,Kijiji,No,,,
3,2021,Subaru,Forester,touring,3,26899,No change noted,Unchanged for 4 weeks,4,26899,26899,0,0,49574,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737660548,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-subaru-forester-2-5i-touring/1737660548,0.4103480400089843,Kijiji,No,,,
4,2023,Subaru,Forester,touring,3,27588,No change noted,Unchanged for 4 weeks,4,27588,27588,0,0,46548,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1733601311,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-subaru-forester-touring-touring-one-owner-low-km-a/1733601311,0.41587170731878065,Kijiji,No,,,
5,2023,Subaru,Forester,touring,3,23998,No change noted,Unchanged for 4 weeks,4,23998,23998,0,0,106000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737294225,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2023-subaru-forester-touring-carfax-power-seat-sunroof-awd/1737294225,0.425776555238468,Kijiji,No,,,
6,2019,Subaru,Forester,touring,3,25110,No change noted,First seen this week,0,25110,25110,0,0,111727,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739060814,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester/1739060814,0.4263397100291828,Kijiji,No,,,
7,2019,Subaru,Forester,Unknown,1,6375,No change noted,Unchanged for 2 weeks,2,6375,6375,0,0,175000,2.0L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738425177,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2019-hyundai-elantra-2-0l-4-cyl-manual-6-speed/1738425177,0.4270572706151683,Kijiji,No,,,
8,2020,Subaru,Forester,touring,3,24900,No change noted,Unchanged for 3 weeks,3,24900,24900,0,0,107336,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1732945400,https://www.kijiji.ca/v-cars-trucks/st-catharines/2020-subaru-forester-2-5i-touring/1732945400,0.43769903080786415,Kijiji,No,,,
9,2024,Subaru,Forester,touring,3,28995,No change noted,"Down $1,000 over 1 weeks",1,29995,29995,-1000,-1000,54570,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738701377,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2024-subaru-forester-touring-awd/1738701377,0.43972762594197273,Kijiji,No,,,
10,2023,Subaru,Forester,touring,3,30832,No change noted,"Down $1,318 over 2 weeks",2,32150,30832,0,-1318,30038,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738400696,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-eyesight-cvt-awd/1738400696,0.4398748355609429,Kijiji,No,,,
