rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2019,Ford,F 150,Lariat SuperCrew | Longbox | Twin Panel Moonroof,3,29595,No change noted,Down $200 over 4 weeks,4,29795,29695,-100,-200,159123,3.5L,Gasoline,Accident reported,N/A,Courtesy Chrysler Dodge Jeep Ram,Dealer,"125 Glendeer Circle S.E., CALGARY, AB, T2H 2S8","CALGARY, AB",149,city_center,23effe0e-bdfb-4727-84dc-b943819c4772,https://www.autotrader.ca/offers/ford-f-150-lariat-supercrew-longbox-twin-panel-moonroof-gasoline-white-cat_ma29gr16518tr11275-23effe0e-bdfb-4727-84dc-b943819c4772,0.37562114855774054,AutoTrader
2,2019,Ford,F 150,XLT 4x4 SuperCab Styleside 6 ft. box 163 in. WB Au,2,19900,"Reduced from $ 21,990,-",Unchanged for 1 weeks,1,19900,19900,0,0,171172,2.7L,Gasoline,Unknown,N/A,CAMROSE CAR CORNER,Dealer,"5609 48 Avenue, Camrose, AB, T4V 0J9","Camrose, AB",141,address,179caf2f-ed56-4e10-bbcc-3585b9ab3da6,https://www.autotrader.ca/offers/ford-f-150-xlt-4x4-supercab-styleside-6-ft-box-163-in-wb-au-gasoline-bronze-cat_ma29gr16518tr11290-179caf2f-ed56-4e10-bbcc-3585b9ab3da6,0.37597559108202744,AutoTrader
3,2017,Ford,F 150,Lariat 502A | 3.5L V6 | Max Tow | Moonroof,3,30991,No change noted,Unchanged for 2 weeks,2,30991,30991,0,0,153288,3.5L,Gasoline,Unknown,N/A,Cochrane GM,Dealer,"2 Westside DR, Cochrane, AB, T4C 1M1","Cochrane, AB",167,city_center,41a8bc50-7284-4c2b-941d-c9ff9287195d,https://www.autotrader.ca/offers/ford-f-150-lariat-502a-3-5l-v6-max-tow-moonroof-gasoline-grey-cat_ma29gr16518-41a8bc50-7284-4c2b-941d-c9ff9287195d,0.3869295377443758,AutoTrader
4,2019,Ford,F 150,LARIAT 4WD SUPERCREW BACKUP CAMERA NAVIGATION PUSH,3,32988,No change noted,"Up $1,000 over 3 weeks",3,31988,31988,1000,1000,133990,3.5L,Gasoline,Unknown,N/A,Auto House,Dealer,"2404 23rd Ave NE, CALGARY, AB, T2E8J4","CALGARY, AB",149,city_center,3f068692-f456-4dfb-8b26-82619990cc68,https://www.autotrader.ca/offers/ford-f-150-lariat-4wd-supercrew-backup-camera-navigation-push-gasoline-white-cat_ma29gr16518tr11275-3f068692-f456-4dfb-8b26-82619990cc68,0.38794088170478774,AutoTrader
5,2018,Ford,F 150,Lariat Sport,3,31144,No change noted,Down $833 over 3 weeks,3,31977,31255,-111,-833,148255,3.5L,Gasoline,Unknown,N/A,Strathmore Ford,Dealer,"1040 - Westridge Road, Strathmore, AB, T1P 1H8","Strathmore, AB",186,address,cb98b965-df13-4e08-a155-e6ebbfa4433b,https://www.autotrader.ca/offers/ford-f-150-lariat-sport-gasoline-black-cat_ma29gr16518tr11275-cb98b965-df13-4e08-a155-e6ebbfa4433b,0.38857630701742985,AutoTrader
6,2023,Ford,F 150,XLT SuperCab 145 | FX4 Pkg | Tow Pkg | SYNC 4,3,37000,No change noted,"Down $1,000 over 2 weeks",2,38000,38000,-1000,-1000,103044,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,af7bb4c0-537d-43f5-8904-a066edd5cb83,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145-fx4-pkg-tow-pkg-sync-4-gasoline-grey-cat_ma29gr16518tr11290-af7bb4c0-537d-43f5-8904-a066edd5cb83,0.4028550468464263,AutoTrader
7,2018,Ford,F 150,XLT,2,20888,No change noted,"Down $1,007 over 3 weeks",3,21895,21388,-500,-1007,245606,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R 1M5","RED DEER, AB",1,city_center,6cce10ac-9984-48fa-8191-a83d0e3819ba,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-cat_ma29gr16518tr11279-6cce10ac-9984-48fa-8191-a83d0e3819ba,0.405180790118024,AutoTrader
8,2020,Ford,F 150,XLT SuperCab 145 | Class IV Hitch | Heavy Duty Sho,2,28500,No change noted,First seen this week,0,28500,28500,0,0,105905,2.7L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,4ceb2b10-5b98-4a93-985c-82ba2ca9e982,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145-class-iv-hitch-heavy-duty-sho-gasoline-white-cat_ma29gr16518-4ceb2b10-5b98-4a93-985c-82ba2ca9e982,0.40883684482800636,AutoTrader
9,2020,Ford,F 150,Lariat,3,40388,No change noted,First seen this week,0,40388,40388,0,0,113973,2.7L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R 1M5","RED DEER, AB",1,city_center,b982d0d9-43a1-4339-bfab-7109e326d481,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-blue-cat_ma29gr16518tr11275-b982d0d9-43a1-4339-bfab-7109e326d481,0.40911601054281577,AutoTrader
10,2017,Ford,F 150,PLATINUM - 2YR/40KM WARRANTY INCLUDED!,3,36777,No change noted,First seen this week,0,36777,36777,0,0,111120,3.5L,Gasoline,Unknown,N/A,Strathmore Ford,Dealer,"1040 - Westridge Road, Strathmore, AB, T1P 1H8","Strathmore, AB",186,address,ffc5d74f-21b6-4dc4-99cf-0aa77143c17e,https://www.autotrader.ca/offers/ford-f-150-platinum-2yr-40km-warranty-included-gasoline-black-cat_ma29gr16518-ffc5d74f-21b6-4dc4-99cf-0aa77143c17e,0.41194352290880937,AutoTrader
11,2020,Ford,F 150,LARIAT| REMOTE START| 5.5' BOX,3,34995,No change noted,First seen this week,0,34995,34995,0,0,168844,3.5L,Gasoline,Accident reported,N/A,Champion Ford,Dealer,"1 Champion Road, Carstairs, AB, T0M 0N0","Carstairs, AB",91,address,cceceaf6-9796-4cfe-af3b-e4a5581d1dbd,https://www.autotrader.ca/offers/ford-f-150-lariat-remote-start-5-5-box-gasoline-grey-cat_ma29gr16518tr11275-cceceaf6-9796-4cfe-af3b-e4a5581d1dbd,0.4159046851797684,AutoTrader
