rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2016,Ford,F 150,XLT | One Owner | Twin Turbo,2,15897,No change noted,Up $125 over 2 weeks,2,15772,15772,125,125,216842,3.5L,Gasoline,Unknown,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,124c246e-25e5-45f7-b907-84a76d724f31,https://www.autotrader.ca/offers/ford-f-150-xlt-one-owner-twin-turbo-gasoline-white-cat_ma29gr16518tr11290-124c246e-25e5-45f7-b907-84a76d724f31,0.2539300088978829,AutoTrader
2,2016,Ford,F 150,Lariat,3,23488,No change noted,First seen this week,0,23488,23488,0,0,183545,2.7L,Gasoline,Unknown,N/A,Advantage Ford,Dealer,"12800 Macleod Trail S.E., CALGARY, AB, T2J 7E5","CALGARY, AB",149,city_center,126c8541-8aff-422f-85ca-94fdff73804f,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-cat_ma29gr16518tr11275-126c8541-8aff-422f-85ca-94fdff73804f,0.2612808599792571,AutoTrader
3,2018,Ford,F 150,Lariat,3,25700,No change noted,Unchanged for 2 weeks,2,25700,25700,0,0,177500,3.5L,Gasoline,Unknown,N/A,Aspen Ford Sales Ltd.,Dealer,"4402 - 42 St., STETTLER, AB, T0C2L0","STETTLER, AB",82,address,01143830-28f3-40d5-9571-1cee5e0af713,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-red-cat_ma29gr16518tr11275-01143830-28f3-40d5-9571-1cee5e0af713,0.26589886173994187,AutoTrader
4,2019,Ford,F 150,"Lariat 502A, SPORT PACKAGE, HEATED WHEEL, REMOTE S",3,27488,No change noted,Unchanged for 2 weeks,2,27488,27488,0,0,172866,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Olds,Dealer,"5042 48 th Street, OLDS, AB, T4H 0C6","OLDS, AB",63,city_center,b01cd4c5-292a-4fe9-9de9-10a5776d76e7,https://www.autotrader.ca/offers/ford-f-150-lariat-502a-sport-package-heated-wheel-remote-s-gasoline-cat_ma29gr16518tr11275-b01cd4c5-292a-4fe9-9de9-10a5776d76e7,0.2762835681129179,AutoTrader
5,2017,Ford,F 150,Lariat  - Leather Seats - Navigation,3,32999,No change noted,First seen this week,0,32999,32999,0,0,82938,3.5L,Gasoline,No accidents reported,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J 1J8","PONOKA, AB",54,address,987e16aa-7cf0-4c32-9640-f54dfdc332ba,https://www.autotrader.ca/offers/ford-f-150-lariat-leather-seats-navigation-gasoline-gold-cat_ma29gr16518-987e16aa-7cf0-4c32-9640-f54dfdc332ba,0.3021113926632893,AutoTrader
6,2018,Ford,F 150,XLT,2,21888,No change noted,Down $7 over 1 weeks,1,21895,21895,-7,-7,245606,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R 1M5","RED DEER, AB",1,city_center,6cce10ac-9984-48fa-8191-a83d0e3819ba,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-cat_ma29gr16518tr11279-6cce10ac-9984-48fa-8191-a83d0e3819ba,0.3078665066265273,AutoTrader
7,2019,Ford,F 150,Lariat SuperCrew | Longbox | Twin Panel Moonroof,3,29695,No change noted,Down $100 over 2 weeks,2,29795,29795,-100,-100,159123,3.5L,Gasoline,Accident reported,N/A,Courtesy Chrysler Dodge Jeep Ram,Dealer,"125 Glendeer Circle S.E., CALGARY, AB, T2H 2S8","CALGARY, AB",149,city_center,23effe0e-bdfb-4727-84dc-b943819c4772,https://www.autotrader.ca/offers/ford-f-150-lariat-supercrew-longbox-twin-panel-moonroof-gasoline-white-cat_ma29gr16518tr11275-23effe0e-bdfb-4727-84dc-b943819c4772,0.3080075204098758,AutoTrader
8,2016,Ford,F 150,Lariat - 4x4 - 501A - FX4 - SK TRUCK,3,18999,No change noted,Unchanged for 2 weeks,2,18999,18999,0,0,248667,3.5L,Gasoline,Unknown,N/A,Saskatoon Auto Connection,Dealer,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,https://www.autotrader.ca/offers/ford-f-150-lariat-4x4-501a-fx4-sk-truck-gasoline-black-cat_ma29gr16518tr11275-3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,0.3117330886021994,AutoTrader
9,2018,Ford,F 150,XLT 302A PACKAGE | NO ACCIDENTS | TONNEAU COVER |,2,21787,No change noted,"Down $1,000 over 2 weeks",2,22787,22787,-1000,-1000,172078,2.7L,Gasoline,No accidents reported,N/A,Leduc Hyundai,Dealer,"7014 Sparrow Drive, Leduc, AB, T9E 8A5","Leduc, AB",124,address,9310f94e-65f4-4d51-928e-bd439fc08f64,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-package-no-accidents-tonneau-cover-gasoline-white-cat_ma29gr16518tr11290-9310f94e-65f4-4d51-928e-bd439fc08f64,0.3150649535398871,AutoTrader
10,2017,Ford,F 150,Lariat 502A | 3.5L V6 | Max Tow | Moonroof,3,30991,No change noted,First seen this week,0,30991,30991,0,0,153288,3.5L,Gasoline,Unknown,N/A,Cochrane GM,Dealer,"2 Westside DR, Cochrane, AB, T4C 1M1","Cochrane, AB",161,city_center,41a8bc50-7284-4c2b-941d-c9ff9287195d,https://www.autotrader.ca/offers/ford-f-150-lariat-502a-3-5l-v6-max-tow-moonroof-gasoline-grey-cat_ma29gr16518-41a8bc50-7284-4c2b-941d-c9ff9287195d,0.3198660875684578,AutoTrader
