rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2020,Ford,F 150,XLT FX4 Sport Package 301A 5.0L | Cruise Control,3,29980,No change noted,First seen this week,0,29980,29980,0,0,0,5.0L,Gasoline,No accidents reported,N/A,Lakewood Chevrolet,Dealer,"2807 92 Street NW, EDMONTON, AB, T6N 0A5","EDMONTON, AB",144,address,cf2aff9f-eea9-49bd-82ff-9cea504f715c,https://www.autotrader.ca/offers/ford-f-150-xlt-fx4-sport-package-301a-5-0l-cruise-control-gasoline-grey-cat_ma29gr16518-cf2aff9f-eea9-49bd-82ff-9cea504f715c,0.2768712895319219,AutoTrader
2,2018,Ford,F 150,PLATINUM,3,16000,No change noted,First seen this week,0,16000,16000,0,0,200778,Unknown,Gasoline,Unknown,N/A,Regal Auctions Ltd,Dealer,"2600 - 7th Avenue N.E., CALGARY, AB, T2A2L8","CALGARY, AB",149,city_center,294d9107-784a-4362-8fa1-c5fb640231f3,https://www.autotrader.ca/offers/ford-f-150-platinum-gasoline-black-cat_ma29gr16518-294d9107-784a-4362-8fa1-c5fb640231f3,0.309673092446379,AutoTrader
3,2017,Ford,F 150,Lariat,3,26888,No change noted,Unchanged for 2 weeks,2,26888,26888,0,0,180124,3.5L,Gasoline,Unknown,N/A,Advantage Ford,Dealer,"12800 Macleod Trail S.E., CALGARY, AB, T2J 7E5","CALGARY, AB",149,city_center,a7c72a7b-298c-4e3a-936a-d73830491819,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-red-cat_ma29gr16518tr11275-a7c72a7b-298c-4e3a-936a-d73830491819,0.38514564742733226,AutoTrader
4,2019,Ford,F 150,XLT 4x4 SuperCab Styleside 6 ft. box 163 in. WB Au,2,18990,"Reduced from $ 19,900,-",Down $910 over 4 weeks,4,19900,19900,-910,-910,171172,2.7L,Gasoline,Unknown,N/A,CAMROSE CAR CORNER,Dealer,"5609 48 Avenue, Camrose, AB, T4V 0J9","Camrose, AB",141,address,179caf2f-ed56-4e10-bbcc-3585b9ab3da6,https://www.autotrader.ca/offers/ford-f-150-xlt-4x4-supercab-styleside-6-ft-box-163-in-wb-au-gasoline-bronze-cat_ma29gr16518tr11290-179caf2f-ed56-4e10-bbcc-3585b9ab3da6,0.38621091855305295,AutoTrader
5,2018,Ford,F 150,Lariat,3,21500,No change noted,Unchanged for 1 weeks,1,21500,21500,0,0,218000,3.5L,Gasoline,No accidents reported,N/A,Unknown,Dealer,,"Taber, AB",292,city_center,b079cd1d-66da-4d02-806b-597130701599,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-white-cat_ma29gr16518-b079cd1d-66da-4d02-806b-597130701599,0.3950794585784584,AutoTrader
6,2021,Ford,F 150,4x4 Super Crew XLT FX4 PSeat BCam,3,36557,No change noted,"Down $1,325 over 5 weeks",5,37882,37882,-1325,-1325,121581,3.5L,Gasoline,No accidents reported,N/A,Red Deer Motors,Dealer,"6720 Johnstone Dr., RED DEER, AB, T4P 3Y2","RED DEER, AB",5,address,cd5116fd-2a2e-4bb6-9ab1-dc597f53bd7b,https://www.autotrader.ca/offers/ford-f-150-4x4-super-crew-xlt-fx4-pseat-bcam-gasoline-grey-cat_ma29gr16518-cd5116fd-2a2e-4bb6-9ab1-dc597f53bd7b,0.3954277992404187,AutoTrader
7,2023,Ford,F 150,XLT SuperCab 145 | FX4 Pkg | SYNC 4 | Tow Pkg,3,36000,No change noted,"Down $1,000 over 4 weeks",4,37000,36000,0,-1000,116297,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",156,address,c284e059-8fd1-4e24-a0c4-c6bed09df43e,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145-fx4-pkg-sync-4-tow-pkg-gasoline-silver-cat_ma29gr16518tr11290-c284e059-8fd1-4e24-a0c4-c6bed09df43e,0.41522937390411746,AutoTrader
8,2024,Ford,F 150,4x4 Super Cab XLT FX4 Nav BCam PSeat,3,36881,No change noted,Unchanged for 1 weeks,1,36881,36881,0,0,145014,3.5L,Gasoline,Unknown,N/A,Red Deer Motors,Dealer,"6720 Johnstone Dr., RED DEER, AB, T4P 3Y2","RED DEER, AB",5,address,62dcde83-acd9-40a6-9a0e-bc16aa95d7d8,https://www.autotrader.ca/offers/ford-f-150-4x4-super-cab-xlt-fx4-nav-bcam-pseat-gasoline-grey-cat_ma29gr16518tr11290-62dcde83-acd9-40a6-9a0e-bc16aa95d7d8,0.41544367921866765,AutoTrader
9,2018,Ford,F 150,"XLT *WELL EQUIPPED, TWIN TURBOCHARGED, CLEAN TRUCK",2,28495,No change noted,First seen this week,0,28495,28495,0,0,112047,3.5L,Gasoline,Unknown,N/A,GO AUTO OUTLET SOUTH,Dealer,"2262 Sparrow Dr, Nisku, AB, T9E 8A2","Nisku, AB",130,address,323c4c3b-92d2-483b-a2c7-f9fecdd5d280,https://www.autotrader.ca/offers/ford-f-150-xlt-well-equipped-twin-turbocharged-clean-truck-gasoline-white-cat_ma29gr16518-323c4c3b-92d2-483b-a2c7-f9fecdd5d280,0.41966502242244247,AutoTrader
10,2020,Ford,F 150,XLT SuperCab 145 | Class IV Hitch | Heavy Duty Sho,2,28500,No change noted,Unchanged for 5 weeks,5,28500,28500,0,0,105905,2.7L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",156,address,4ceb2b10-5b98-4a93-985c-82ba2ca9e982,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145-class-iv-hitch-heavy-duty-sho-gasoline-white-cat_ma29gr16518-4ceb2b10-5b98-4a93-985c-82ba2ca9e982,0.4200491551157421,AutoTrader
