rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2025,Ford,F-150,tremor,3,700,No change noted,Unchanged for 6 weeks,6,700,700,0,0,30000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Stettler, AB","Stettler, AB",80,address,1736673035,https://www.kijiji.ca/v-cars-trucks/flin-flon/2025-ford-tremor-lease-take-over/1736673035,0.03375533260661849,Kijiji
2,2025,Ford,F-150,tremor,3,5269,No change noted,First seen this week,0,5269,5269,0,0,123,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739561617,https://www.kijiji.ca/v-cars-trucks/calgary/unique-lifts-10-000lbs-2-post-car-lift/1739561617,0.07193370214111726,Kijiji
3,2019,Ford,F-150,Unknown,1,1000,No change noted,First seen this week,0,1000,1000,0,0,1,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739378118,https://www.kijiji.ca/v-cars-trucks/calgary/truck-topper-for-6-5-box/1739378118,0.18630622902283767,Kijiji
4,2017,Ford,F-150,Unknown,1,100,No change noted,Unchanged for 3 weeks,3,100,100,0,0,147000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738502885,https://www.kijiji.ca/v-cars-trucks/calgary/truck-for-junk-landscaping/1738502885,0.2420316053669237,Kijiji
5,2017,Ford,F-150,lariat,3,15900,No change noted,"Down $8,000 over 6 weeks",6,23900,15900,0,-8000,209707,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1736817237,https://www.kijiji.ca/v-cars-trucks/edmonton/2017-ford-f-150-lariat-502a-4x4-supercrew-145/1736817237,0.2516076980634395,Kijiji
6,2016,Ford,F-150,Unknown,1,200,No change noted,Unchanged for 6 weeks,6,200,200,0,0,1,Unknown,Gas,Unknown,N/A,Unknown,Private,"Saskatoon, SK","Saskatoon, SK",538,address,1736969505,https://www.kijiji.ca/v-cars-trucks/saskatoon/ford-factory-rims/1736969505,0.2526683483386491,Kijiji
7,2018,Ford,F-150,xlt,2,3999,No change noted,Unchanged for 3 weeks,3,3999,3999,0,0,275000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738444917,https://www.kijiji.ca/v-cars-trucks/calgary/ford-f150/1738444917,0.2545770354744506,Kijiji
8,2016,Ford,F-150,xlt,2,11500,No change noted,Unchanged for 5 weeks,5,11500,11500,0,0,183500,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1736141813,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-ford-f-150/1736141813,0.2668419193346522,Kijiji
9,2018,Ford,F-150,fx4,3,18900,No change noted,First seen this week,0,18900,18900,0,0,198000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739379519,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f150-xlt-fx4-5-0-v8/1739379519,0.2706337559045581,Kijiji
10,2017,Ford,F-150,lariat,3,19500,No change noted,Unchanged for 1 weeks,1,19500,19500,0,0,202869,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1723983340,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-f150-lariat/1723983340,0.2777279494529452,Kijiji
