rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2016,Ford,F-150,lariat,3,19999,No change noted,First seen this week,0,19999,19999,0,0,1,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Olds, AB","Olds, AB",63,address,1740416468,https://www.kijiji.ca/v-cars-trucks/medicine-hat/2016-ford-f-150-lariat/1740416468,0.17848890794416122,Kijiji
2,2016,Ford,F-150,xlt,2,11000,No change noted,Unchanged for 1 weeks,1,11000,11000,0,0,123500,Unknown,Gas,Salvage/rebuilt,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739920196,https://www.kijiji.ca/v-cars-trucks/norfolk-county/ford-f150/1739920196,0.24708538262176433,Kijiji
3,2018,Ford,F-150,platinum,3,16000,No change noted,First seen this week,0,16000,16000,0,0,200778,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1740331732,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f150-platinum/1740331732,0.2642710980976476,Kijiji
4,2017,Ford,F-150,lariat,3,18398,No change noted,Down $600 over 7 weeks,7,18998,18398,0,-600,199030,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",91,address,1727997804,https://www.kijiji.ca/v-cars-trucks/hamilton/2017-ford-f-150-lariat-bluetooth/1727997804,0.27246974347222297,Kijiji
5,2016,Ford,F-150,king ranch,3,12990,No change noted,"Down $1,000 over 1 weeks",1,13990,13990,-1000,-1000,293007,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739967120,https://www.kijiji.ca/v-cars-trucks/city-of-halifax/2016-ford-f-150-king-ranch/1739967120,0.27559565901525973,Kijiji
6,2018,Ford,F-150,xlt,2,3999,No change noted,Unchanged for 6 weeks,6,3999,3999,0,0,275000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738444917,https://www.kijiji.ca/v-cars-trucks/calgary/ford-f150/1738444917,0.2773236620335423,Kijiji
7,2016,Ford,F-150,fx4,3,18000,No change noted,"Down $1,000 over 1 weeks",1,19000,19000,-1000,-1000,196000,2.7L,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739917203,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f150-fx4-2-7l/1739917203,0.27848778613646535,Kijiji
8,2018,Ford,F-150,fx4,3,18900,No change noted,Unchanged for 3 weeks,3,18900,18900,0,0,198000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739379519,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f150-xlt-fx4-5-0-v8/1739379519,0.2870135521641897,Kijiji
9,2017,Ford,F-150,lariat,3,19500,No change noted,Unchanged for 4 weeks,4,19500,19500,0,0,202869,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1723983340,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-f150-lariat/1723983340,0.2945105585758351,Kijiji
10,2020,Ford,F-150,lariat,3,17900,No change noted,First seen this week,0,17900,17900,0,0,255000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1740507056,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-ford-f-150-lariat-certified/1740507056,0.29702223840696756,Kijiji
11,2016,Ford,F-150,lariat,3,20500,No change noted,"Down $1,500 over 3 weeks",3,22000,22000,-1500,-1500,218000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739541392,https://www.kijiji.ca/v-cars-trucks/sudbury/ford-f-150/1739541392,0.29971490721640504,Kijiji
12,2017,Ford,F-150,lariat,3,14990,No change noted,"Down $5,000 over 2 weeks",2,19990,19990,-5000,-5000,286310,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739827952,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-f-150-lariat-502a-moonroof-fx4-package/1739827952,0.2997168552534292,Kijiji
13,2017,Ford,F-150,fx4,3,23980,No change noted,"Down $1,000 over 2 weeks",2,24980,24980,-1000,-1000,165993,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738910404,https://www.kijiji.ca/v-cars-trucks/vancouver/2017-ford-f-150-4wd-supercab-145-xlt-fx4-off-road-tonneau-cove/1738910404,0.30204513414753764,Kijiji
