rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2025,Ford,F-150,tremor,3,700,No change noted,Unchanged for 2 weeks,2,700,700,0,0,30000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Stettler, AB","Stettler, AB",80,address,1736673035,https://www.kijiji.ca/v-cars-trucks/flin-flon/2025-ford-tremor-lease-take-over/1736673035,0.023904597429020645,Kijiji
2,2025,Ford,F-150,xlt,2,369,No change noted,Unchanged for 1 weeks,1,369,369,0,0,5700,3.5L,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737679712,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2025-ford-f150-xlt-3-5l-6-5-bed-5700kms/1737679712,0.09573882803800536,Kijiji
3,2024,Ford,F-150,xlt,2,450,No change noted,Unchanged for 1 weeks,1,450,450,0,0,23000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1733801073,https://www.kijiji.ca/v-cars-trucks/barrie/2024-ford-f150-lease-takeover/1733801073,0.0981740976339777,Kijiji
4,2018,Ford,F-150,xlt,2,3999,No change noted,First seen this week,0,3999,3999,0,0,275000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738444917,https://www.kijiji.ca/v-cars-trucks/calgary/ford-f150/1738444917,0.1642786296798037,Kijiji
5,2017,Ford,F-150,lariat,3,13900,No change noted,Unchanged for 2 weeks,2,13900,13900,0,0,311000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737011193,https://www.kijiji.ca/v-cars-trucks/moncton/2017-ford-f-150-xlt-lariat-crew-cab-4x4/1737011193,0.16456134100430722,Kijiji
6,2017,Ford,F-150,Unknown,1,900,No change noted,Unchanged for 2 weeks,2,900,900,0,0,800,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1731996110,https://www.kijiji.ca/v-cars-trucks/st-georges-de-beauce/ford-f-150-275-65-18-dunlop-wintermaxx-roues-acier-18p-11-32-20/1731996110,0.17466525456862592,Kijiji
7,2019,Ford,F-150,Unknown,1,900,No change noted,Unchanged for 2 weeks,2,900,900,0,0,1000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1733371766,https://www.kijiji.ca/v-cars-trucks/st-georges-de-beauce/ford-f-150-lt275-65-18-gt-radial-11-32-usure-roues-acier-18p-20/1733371766,0.17468560450615161,Kijiji
8,2020,Ford,F-150,Unknown,1,900,No change noted,Unchanged for 2 weeks,2,900,900,0,0,3000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1729805244,https://www.kijiji.ca/v-cars-trucks/st-georges-de-beauce/ford-f-150-265-70-17-nokian-hakkapeliitta-8-9-32-usure-roues-202/1729805244,0.17488910388140852,Kijiji
9,2016,Ford,F-150,Unknown,1,1400,No change noted,Unchanged for 2 weeks,2,1400,1400,0,0,100,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1735841509,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/ford-f-150-wheels/1735841509,0.17876069645395265,Kijiji
10,2016,Ford,F-150,lariat,3,15600,No change noted,First seen this week,0,15600,15600,0,0,321000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738209236,https://www.kijiji.ca/v-cars-trucks/winnipeg/2016-ford-f150-lariat/1738209236,0.1797455045472585,Kijiji
