rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2015,Ford,F-350,xlt,2,13000,No change noted,"Down $1,000 over 6 weeks",6,14000,14000,-1000,-1000,401672,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738669626,https://www.kijiji.ca/v-cars-trucks/calgary/2015-f350-f30-xlt-super-duty-crew-cab-4x4-6-7l-diesel/1738669626,0.41952727381798005,Kijiji,No,,,
2,2015,Ford,F-350,lariat,3,31900,No change noted,Unchanged for 10 weeks,10,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1734834544,https://www.kijiji.ca/v-cars-trucks/calgary/2015-ford-super-duty-f-350-srw-lariat-6-7l-diesel-crew-cab/1734834544,0.45371102602665725,Kijiji,No,,,
3,2016,Ford,F-350,lariat,3,33500,No change noted,Unchanged for 1 weeks,1,33500,33500,0,0,244367,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1740220475,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2016-ford-f350-6-7l-super-duty/1740220475,0.47312553964487936,Kijiji,No,,,
4,2019,Ford,F 350,Limited,3,35500,No change noted,"Down $1,500 over 2 weeks",2,37000,37000,-1500,-1500,306200,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,"Calgary, AB",149,city_center,4b0d4ae3-fd0a-485e-ae18-dac4e18608ca,https://www.autotrader.ca/offers/ford-f-350-super-duty-limited-diesel-white-cat_ma29gr18389-4b0d4ae3-fd0a-485e-ae18-dac4e18608ca,0.49460898809469656,AutoTrader,No,,,
5,2016,Ford,F-350,xlt,2,29900,No change noted,"Down $1,000 over 9 weeks",9,30900,29900,0,-1000,275563,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1737189627,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-super-duty-f-350-srw-xlt-6-7l-diesel-crew-cab-4w/1737189627,0.5076550516089392,Kijiji,No,,,
6,2018,Ford,F-350,lariat,3,46000,No change noted,Unchanged for 6 weeks,6,46000,46000,0,0,156000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739026777,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-350-lariat-6-7l-diesel-srw/1739026777,0.5168980723281447,Kijiji,No,,,
7,2016,Ford,F-350,lariat,3,40680,No change noted,Unchanged for 1 weeks,1,40680,40680,0,0,239852,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",274,address,1740240974,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-918a-6-7l-fx4/1740240974,0.5349960293209483,Kijiji,No,,,
8,2015,Ford,F-350,Unknown,1,29990,No change noted,Unchanged for 4 weeks,4,29990,29990,0,0,157000,6.7L,Diesel,No accidents reported,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1738669963,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2015-ford-super-duty-f-350-drw-6-7l-power-stroke-diesel-9-dump/1738669963,0.5482789935815978,Kijiji,No,,,
9,2018,Ford,F 350,Lariat  - Leather Seats,3,44999,No change noted,"Down $2,996 over 8 weeks",8,47995,44999,0,-2996,218912,6.7L,Diesel,Unknown,N/A,Legacy Dodge Claresholm,Dealer,"5202 - 1st Street W, Claresholm, AB, T0L0T0","Claresholm, AB",274,city_center,0c01c467-a610-4bcf-bb47-62b73f38067e,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-leather-seats-diesel-cat_ma29gr18389tr11371-0c01c467-a610-4bcf-bb47-62b73f38067e,0.5491069863299117,AutoTrader,No,,,
10,2019,Ford,F-350,fx4,3,45900,No change noted,Unchanged for 6 weeks,6,45900,45900,0,0,176500,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1738744925,https://www.kijiji.ca/v-cars-trucks/nanaimo/2019-ford-f350-6-7l-diesel/1738744925,0.550067350896708,Kijiji,No,,,
11,2016,Ford,F-350,lariat,3,43680,No change noted,Unchanged for 10 weeks,10,43680,43680,0,0,216452,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",274,address,1737928701,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-6-7l-aftermarket/1737928701,0.550135230048085,Kijiji,No,,,
12,2017,Ford,F-350,lariat,3,44995,No change noted,Unchanged for 3 weeks,3,44995,44995,0,0,252787,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739835301,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-super-duty-f-350-srw-lariat-6-7l-powerstroke-long/1739835301,0.55611531259745,Kijiji,No,,,
13,2016,Ford,F-350,Unknown,1,19500,No change noted,Unchanged for 2 weeks,2,19500,19500,0,0,363000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1739428883,https://www.kijiji.ca/v-cars-trucks/swift-current/f350-6-7l/1739428883,0.5571728033471155,Kijiji,No,,,
14,2018,Ford,F-350,xlt,2,34650,No change noted,First seen this week,0,34650,34650,0,0,250594,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",274,address,1740794354,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2018-ford-super-duty-f-350-srw-xlt-6-7l-v8-diesel-my-key/1740794354,0.5614957704050029,Kijiji,No,,,
15,2019,Ford,F 350,XLT SRW DIESEL 4X4 | 8 Foot Box | Back Up Camera |,2,33988,No change noted,First seen this week,0,33988,33988,0,0,328909,6.7L,Diesel,Unknown,N/A,Macleod Trail Toyota,Dealer,"3640 Macleod Trail South, CALGARY, AB, T2G2P9","CALGARY, AB",149,city_center,91ac624a-7b92-4a5b-bcf5-1f98ee29076c,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-srw-diesel-4x4-8-foot-box-back-up-camera-diesel-grey-cat_ma29gr18389-91ac624a-7b92-4a5b-bcf5-1f98ee29076c,0.5696388524511834,AutoTrader,No,,,
16,2016,Ford,F-350,xlt,2,46000,No change noted,Unchanged for 1 weeks,1,46000,46000,0,0,113000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1740257339,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-350-xlt-crew-cab-6-7l-power-stroke-diesel-113-000/1740257339,0.5704875682352529,Kijiji,No,,,
17,2021,Ford,F-350,xlt,2,44900,No change noted,"Down $3,000 over 2 weeks",2,47900,44900,0,-3000,109300,6.7L,Diesel,Salvage/rebuilt,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",274,address,1739919892,https://www.kijiji.ca/v-cars-trucks/portage-la-prairie/2021-ford-f-350-crew-dually-flatbed-4x4-xlt-6-7l-rebuilt-title/1739919892,0.5826770481667273,Kijiji,No,,,
18,2016,Ford,F 350,Dually  Lariat,3,43995,No change noted,Unchanged for 4 weeks,4,43995,43995,0,0,217000,6.7L,Diesel,Unknown,N/A,Start N Go Auto,Dealer,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3","Saskatoon, SK",539,address,757fd207-9be0-4a9f-bb9d-5fc594a4ba80,https://www.autotrader.ca/offers/ford-f-350-super-duty-dually-lariat-diesel-black-cat_ma29gr18389tr11371-757fd207-9be0-4a9f-bb9d-5fc594a4ba80,0.5903137250239933,AutoTrader,No,,,
19,2020,Ford,F-350,xlt,2,39500,No change noted,Unchanged for 2 weeks,2,39500,39500,0,0,246940,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1740180304,https://www.kijiji.ca/v-cars-trucks/kamloops/well-kept-2020-ford-f350-6-7l-diesel-dually-xlt/1740180304,0.6029876810660909,Kijiji,No,,,
20,2022,Ford,F 350,XLT PREMIUM FX4 6.7L DIESEL,3,59990,No change noted,Down $5 over 2 weeks,2,59995,59990,0,-5,59505,6.7L,Diesel,Accident reported,N/A,Boundary Ford Sales,Dealer,"2502-50th Avenue, Lloydminster, SK, T9V2S3","Lloydminster, SK",368,city_center,45a24483-4bd3-44ac-9663-f2d729bb726b,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-premium-fx4-6-7l-diesel-diesel-white-cat_ma29gr18389tr11376-45a24483-4bd3-44ac-9663-f2d729bb726b,0.6033383916953362,AutoTrader,No,,,
21,2020,Ford,F-350,fx4,3,54900,No change noted,Unchanged for 10 weeks,10,54900,54900,0,0,198000,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1724509335,https://www.kijiji.ca/v-cars-trucks/edmonton/2020-ford-f-350-fx4-offroad-package-4x4-6-7l-diesel/1724509335,0.6182433344941806,Kijiji,No,,,
22,2022,Ford,F 350,XLT CrewCab 176 | Tow Pkg | SYNC 3 | Upfitter Swit,2,55000,No change noted,"Down $3,000 over 3 weeks",3,58000,55000,0,-3000,102000,6.7L,Diesel,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",156,address,7be24c55-1770-40d3-a558-4691a6779b15,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-crewcab-176-tow-pkg-sync-3-upfitter-swit-diesel-white-cat_ma29gr18389tr11376-7be24c55-1770-40d3-a558-4691a6779b15,0.619879273699471,AutoTrader,No,,,
23,2019,Ford,F 350,LARIAT ULTIMATE FX4 | QUAD BEAMS | NAV | REM START,3,54995,No change noted,Down $5 over 1 weeks,1,55000,55000,-5,-5,178867,6.7L,Diesel,Unknown,N/A,Boundary Ford Sales,Dealer,"2502-50th Avenue, Lloydminster, SK, T9V2S3","Lloydminster, SK",368,city_center,df5009b2-d956-4e13-9ca1-5e27c1dbb886,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-ultimate-fx4-quad-beams-nav-rem-start-diesel-black-cat_ma29gr18389-df5009b2-d956-4e13-9ca1-5e27c1dbb886,0.628098313141698,AutoTrader,No,,,
24,2020,Ford,F 350,PLATINUM SUPER DUTY | 6.7 POWERSTROKE | 4X4,3,59999,"Reduced from $ 61,999,-",First seen this week,0,59999,59999,0,0,192915,6.7L,Diesel,Unknown,N/A,Big 4 Motors Chrysler Dodge Jeep Ram,Dealer,"5905 Weaselhead Rd, CALGARY, AB, T3T 0E5","CALGARY, AB",169,address,e1f49dc2-f041-42a6-a794-b977b9555c8d,https://www.autotrader.ca/offers/ford-f-350-super-duty-platinum-super-duty-6-7-powerstroke-4x4-diesel-cat_ma29gr18389-e1f49dc2-f041-42a6-a794-b977b9555c8d,0.639586612687197,AutoTrader,No,,,
25,2017,Ford,F 350,XLT | 176 | Diesel | Bedliner | Backup Camera,2,43999,No change noted,Up $4 over 2 weeks,2,43995,43957,42,4,100355,6.7L,Diesel,Unknown,N/A,Prince George Ford,Dealer,"1331 Central Street, Prince George, BC, V2M 3E2","Prince George, BC",785,city_center,4faf70de-6eec-487c-a555-d8b190f70f4c,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-176-diesel-bedliner-backup-camera-diesel-grey-cat_ma29gr18389-4faf70de-6eec-487c-a555-d8b190f70f4c,0.6474789281978195,AutoTrader,No,,,
