rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2023,Toyota,Tundra,Hybrid Limited TRD Off Road,3,53898,No change noted,"Down $2,335 over 4 weeks",4,56233,53898,0,-2335,110438,3.4L,Gas/Electric Hybrid,No accidents reported,N/A,Camrose Toyota,Dealer,"3411 48 Avenue, Camrose, AB, T4V 1L8","Camrose, AB",142,address,e22983f7-152f-4327-92ce-0e0f3ce44b65,https://www.autotrader.ca/offers/toyota-tundra-hybrid-limited-trd-off-road-gas-electric-hybrid-silver-cat_ma70gr201465va2868tr11744-e22983f7-152f-4327-92ce-0e0f3ce44b65,0.6510005062318045,AutoTrader,No,,,
2,2022,Toyota,Tundra,limited,3,44975,No change noted,"Down $2,913 over 6 weeks",6,47888,51988,-7013,-2913,140273,Unknown,Hybrid,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1735117546,https://www.kijiji.ca/v-cars-trucks/edmonton/2022-toyota-tundra-limited-hybrid/1735117546,0.7398258668938947,Kijiji,No,,,
3,2022,Toyota,Tundra,limited,3,48998,No change noted,"Down $3,499 over 6 weeks",6,52497,50997,-1999,-3499,86852,Unknown,Hybrid,Unknown,N/A,Unknown,Private,"High River, AB","High River, AB",209,address,1731191894,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2022-toyota-tundra-limited-hybrid/1731191894,0.7482385878177814,Kijiji,No,,,
4,2022,Toyota,Tundra,platinum,3,50698,No change noted,"Down $4,301 over 6 weeks",6,54999,50698,0,-4301,151041,Unknown,Hybrid,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1735395325,https://www.kijiji.ca/v-cars-trucks/calgary/2022-toyota-tundra-platinum-hybrid/1735395325,0.8069377990430622,Kijiji,No,,,
5,2023,Toyota,Tundra,Platinum Hybrid,3,59995,No change noted,Unchanged for 3 weeks,3,59995,59995,0,0,127123,3.4L,Gas/Electric Hybrid,Unknown,N/A,Wheaton Buick GMC,Dealer,"685 Notre Dame Dr, KAMLOOPS, BC, V2C5N7","KAMLOOPS, BC",759,address,1ddae9ff-3c5f-42ee-878d-5360c4d98f0c,https://www.autotrader.ca/offers/toyota-tundra-platinum-hybrid-gas-electric-hybrid-grey-cat_ma70gr201465va2868tr15466-1ddae9ff-3c5f-42ee-878d-5360c4d98f0c,0.85,AutoTrader,No,,,
