rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2023,Toyota,Tundra,Hybrid Limited TRD Off Road,3,53898,No change noted,"Down $2,335 over 3 weeks",3,56233,53898,0,-2335,110438,3.4L,Gas/Electric Hybrid,No accidents reported,N/A,Camrose Toyota,Dealer,"3411 48 Avenue, Camrose, AB, T4V 1L8","Camrose, AB",142,address,e22983f7-152f-4327-92ce-0e0f3ce44b65,https://www.autotrader.ca/offers/toyota-tundra-hybrid-limited-trd-off-road-gas-electric-hybrid-silver-cat_ma70gr201465va2868tr11744-e22983f7-152f-4327-92ce-0e0f3ce44b65,0.6346822485265396,AutoTrader,No,,,
2,2022,Toyota,Tundra,Limited Hybrid,3,51988,No change noted,First seen this week,0,51988,51988,0,0,140273,3.5L,Gas/Electric Hybrid,Accident reported,N/A,Wheaton Honda,Dealer,"9688 - 34th Avenue, EDMONTON, AB, T6E 6S9","EDMONTON, AB",154,city_center,f5ccdce9-c0ea-47ba-b86e-ceb3386fd7ac,https://www.autotrader.ca/offers/toyota-tundra-limited-hybrid-gas-electric-hybrid-grey-cat_ma70gr201465va2868tr11744-f5ccdce9-c0ea-47ba-b86e-ceb3386fd7ac,0.6636753366179292,AutoTrader,Yes — also on Kijiji,https://www.kijiji.ca/v-cars-trucks/edmonton/2022-toyota-tundra-limited-hybrid/1735117546,51988,Dealer
3,2024,Toyota,Tundra,LIMITED HEV,3,59999,No change noted,Unchanged for 1 weeks,1,59999,59999,0,0,98226,3.4L,Gas/Electric Hybrid,Unknown,N/A,River City Hyundai,Dealer,"13815 Manning Drive Nw, Edmonton, AB, T5Y 3B2","Edmonton, AB",172,address,9de8815b-5434-4adf-a32d-e5b91eaa68f1,https://www.autotrader.ca/offers/toyota-tundra-limited-hev-gas-electric-hybrid-red-cat_ma70gr201465va2868tr11744-9de8815b-5434-4adf-a32d-e5b91eaa68f1,0.6740418549723015,AutoTrader,No,,,
4,2022,Toyota,Tundra,limited,3,50997,No change noted,"Down $1,500 over 4 weeks",4,52497,50997,0,-1500,86852,Unknown,Hybrid,Unknown,N/A,Unknown,Private,"High River, AB","High River, AB",209,address,1731191894,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2022-toyota-tundra-limited-hybrid/1731191894,0.6972630918724901,Kijiji,No,,,
5,2022,Toyota,Tundra,capstone,3,58989,No change noted,First seen this week,0,58989,58989,0,0,95661,Unknown,Hybrid,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1738092211,https://www.kijiji.ca/v-cars-trucks/st-albert/2022-toyota-tundra-hybrid-4x4-crewmax-capstone-hybrid-for-sale/1738092211,0.727865089959889,Kijiji,No,,,
6,2022,Toyota,Tundra,platinum,3,52698,No change noted,"Down $2,301 over 4 weeks",4,54999,54999,-2301,-2301,151041,Unknown,Hybrid,Unknown,N/A,Unknown,Unknown,"Calgary, AB","Calgary, AB",149,address,1735395325,https://www.kijiji.ca/v-cars-trucks/calgary/2022-toyota-tundra-platinum-hybrid/1735395325,0.7536142980513519,Kijiji,No,,,
7,2023,Toyota,Tundra,Platinum Hybrid,3,59995,No change noted,Unchanged for 1 weeks,1,59995,59995,0,0,127123,3.4L,Gas/Electric Hybrid,Unknown,N/A,Wheaton Buick GMC,Dealer,"685 Notre Dame Dr, KAMLOOPS, BC, V2C5N7","KAMLOOPS, BC",759,address,1ddae9ff-3c5f-42ee-878d-5360c4d98f0c,https://www.autotrader.ca/offers/toyota-tundra-platinum-hybrid-gas-electric-hybrid-grey-cat_ma70gr201465va2868tr15466-1ddae9ff-3c5f-42ee-878d-5360c4d98f0c,0.8312175126745888,AutoTrader,No,,,
