rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2022,Toyota,Tundra,Limited Hybrid,3,51988,No change noted,Unchanged for 1 weeks,1,51988,51988,0,0,140273,3.5L,Gas/Electric Hybrid,Accident reported,N/A,Wheaton Honda,Dealer,"9688 - 34th Avenue, EDMONTON, AB, T6E 6S9","EDMONTON, AB",154,city_center,f5ccdce9-c0ea-47ba-b86e-ceb3386fd7ac,https://www.autotrader.ca/offers/toyota-tundra-limited-hybrid-gas-electric-hybrid-grey-cat_ma70gr201465va2868tr11744-f5ccdce9-c0ea-47ba-b86e-ceb3386fd7ac,0.6637042217286224,AutoTrader,Yes — also on Kijiji,https://www.kijiji.ca/v-cars-trucks/edmonton/2022-toyota-tundra-limited-hybrid/1735117546,51988,Dealer
2,2023,Toyota,Tundra,4x4 Crewmax Capstone Hybrid,3,59888,No change noted,First seen this week,0,59888,59888,0,0,99000,3.5L,Gas/Electric Hybrid,Unknown,N/A,House of Cars 3,Dealer,"3909 MacLeod Trail South, Calgary, AB, T2G 2R4","Calgary, AB",149,city_center,8aba8e83-b4ba-4478-a72a-dab2cd02028a,https://www.autotrader.ca/offers/toyota-tundra-4x4-crewmax-capstone-hybrid-gas-electric-hybrid-grey-cat_ma70gr201465va2868tr479021-8aba8e83-b4ba-4478-a72a-dab2cd02028a,0.6697082217875849,AutoTrader,No,,,
3,2022,Toyota,Tundra,limited,3,50997,No change noted,"Down $1,500 over 5 weeks",5,52497,50997,0,-1500,86852,Unknown,Hybrid,Unknown,N/A,Unknown,Private,"High River, AB","High River, AB",209,address,1731191894,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2022-toyota-tundra-limited-hybrid/1731191894,0.6972630918724901,Kijiji,No,,,
4,2022,Toyota,Tundra,capstone,3,58989,No change noted,Unchanged for 1 weeks,1,58989,58989,0,0,95661,Unknown,Hybrid,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1738092211,https://www.kijiji.ca/v-cars-trucks/st-albert/2022-toyota-tundra-hybrid-4x4-crewmax-capstone-hybrid-for-sale/1738092211,0.727865089959889,Kijiji,No,,,
5,2022,Toyota,Tundra,platinum,3,50698,No change noted,"Down $4,301 over 5 weeks",5,54999,52698,-2000,-4301,151041,Unknown,Hybrid,Unknown,N/A,Unknown,Unknown,"Calgary, AB","Calgary, AB",149,address,1735395325,https://www.kijiji.ca/v-cars-trucks/calgary/2022-toyota-tundra-platinum-hybrid/1735395325,0.7366619849082235,Kijiji,No,,,
6,2023,Toyota,Tundra,Platinum Hybrid,3,59995,No change noted,Unchanged for 2 weeks,2,59995,59995,0,0,127123,3.4L,Gas/Electric Hybrid,Unknown,N/A,Wheaton Buick GMC,Dealer,"685 Notre Dame Dr, KAMLOOPS, BC, V2C5N7","KAMLOOPS, BC",759,address,1ddae9ff-3c5f-42ee-878d-5360c4d98f0c,https://www.autotrader.ca/offers/toyota-tundra-platinum-hybrid-gas-electric-hybrid-grey-cat_ma70gr201465va2868tr15466-1ddae9ff-3c5f-42ee-878d-5360c4d98f0c,0.8312508465634869,AutoTrader,No,,,
