rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2015,Ford,F-350,lariat,3,31900,No change noted,Unchanged for 8 weeks,8,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1734834544,https://www.kijiji.ca/v-cars-trucks/calgary/2015-ford-super-duty-f-350-srw-lariat-6-7l-diesel-crew-cab/1734834544,0.4230490499497311,Kijiji
2,2015,Ford,F-350,lariat,3,25700,No change noted,"Down $1,800 over 4 weeks",4,27500,26800,-1100,-1800,438000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1737906720,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2015-f350-lariat-6-7l-diesel/1737906720,0.4664745917121592,Kijiji
3,2016,Ford,F-350,lariat,3,40680,No change noted,First seen this week,0,40680,40680,0,0,239852,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",142,address,1740058546,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-918a-6-7l-fx4/1740058546,0.47564895018279885,Kijiji
4,2016,Ford,F-350,xlt,2,29900,No change noted,"Down $1,000 over 7 weeks",7,30900,29900,0,-1000,275563,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1737189627,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-super-duty-f-350-srw-xlt-6-7l-diesel-crew-cab-4w/1737189627,0.4784504006711192,Kijiji
5,2018,Ford,F-350,lariat,3,46000,No change noted,Unchanged for 4 weeks,4,46000,46000,0,0,156000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739026777,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-350-lariat-6-7l-diesel-srw/1739026777,0.4830332716561822,Kijiji
6,2016,Ford,F-350,lariat,3,43680,No change noted,Unchanged for 8 weeks,8,43680,43680,0,0,216452,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",142,address,1737928701,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-6-7l-aftermarket/1737928701,0.4899661021829085,Kijiji
7,2019,Ford,F-350,fx4,3,45900,No change noted,Unchanged for 4 weeks,4,45900,45900,0,0,176500,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1738744925,https://www.kijiji.ca/v-cars-trucks/nanaimo/2019-ford-f350-6-7l-diesel/1738744925,0.5154155612982854,Kijiji
8,2017,Ford,F-350,lariat,3,44995,No change noted,Unchanged for 1 weeks,1,44995,44995,0,0,252787,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739835301,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-super-duty-f-350-srw-lariat-6-7l-powerstroke-long/1739835301,0.5188525508503007,Kijiji
9,2016,Ford,F-350,Unknown,1,19500,No change noted,First seen this week,0,19500,19500,0,0,363000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1739428883,https://www.kijiji.ca/v-cars-trucks/swift-current/f350-6-7l/1739428883,0.530557043788645,Kijiji
10,2016,Ford,F-350,xlt,2,46000,No change noted,Unchanged for 2 weeks,2,46000,46000,0,0,112000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739441198,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-350-xlt-crew-cab-6-7l-power-stroke-diesel-112-000/1739441198,0.537941947455269,Kijiji
11,2018,Ford,F-350,xlt,2,42998,No change noted,Unchanged for 4 weeks,4,42998,42998,0,0,156400,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1739048377,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-ford-super-duty-f-350-srw-xlt-6-7-litre-power-stroke-v8-tur/1739048377,0.5570521303274395,Kijiji
12,2020,Ford,F-350,xlt,2,39500,No change noted,First seen this week,0,39500,39500,0,0,246940,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1740180304,https://www.kijiji.ca/v-cars-trucks/kamloops/well-kept-2020-ford-f350-6-7l-diesel-dually-xlt/1740180304,0.5692421667117501,Kijiji
13,2020,Ford,F-350,lariat,3,54995,No change noted,"Down $1,700 over 8 weeks",8,56695,54995,0,-1700,190814,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1736922586,https://www.kijiji.ca/v-cars-trucks/calgary/2020-ford-super-duty-f-350-srw-lariat-6-7l-powerstroke/1736922586,0.5738946556908487,Kijiji
