rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2015,Ford,F-350,xlt,2,14000,No change noted,Unchanged for 5 weeks,5,14000,14000,0,0,401672,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738669626,https://www.kijiji.ca/v-cars-trucks/calgary/2015-f350-f30-xlt-super-duty-crew-cab-4x4-6-7l-diesel/1738669626,0.40353310100232764,Kijiji
2,2015,Ford,F-350,lariat,3,31900,No change noted,Unchanged for 9 weeks,9,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1734834544,https://www.kijiji.ca/v-cars-trucks/calgary/2015-ford-super-duty-f-350-srw-lariat-6-7l-diesel-crew-cab/1734834544,0.4230712082667803,Kijiji
3,2016,Ford,F-350,lariat,3,33500,No change noted,First seen this week,0,33500,33500,0,0,244367,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1740220475,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2016-ford-f350-6-7l-super-duty/1740220475,0.4430863835590756,Kijiji
4,2015,Ford,F-350,lariat,3,25700,No change noted,"Down $1,800 over 5 weeks",5,27500,25700,0,-1800,438000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1737906720,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2015-f350-lariat-6-7l-diesel/1737906720,0.4664924433970547,Kijiji
5,2016,Ford,F-350,xlt,2,29900,No change noted,"Down $1,000 over 8 weeks",8,30900,29900,0,-1000,275563,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1737189627,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-super-duty-f-350-srw-xlt-6-7l-diesel-crew-cab-4w/1737189627,0.47847116975198983,Kijiji
6,2018,Ford,F-350,lariat,3,46000,No change noted,Unchanged for 5 weeks,5,46000,46000,0,0,156000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739026777,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-350-lariat-6-7l-diesel-srw/1739026777,0.4830652240882909,Kijiji
7,2016,Ford,F-350,lariat,3,40680,No change noted,First seen this week,0,40680,40680,0,0,239852,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",274,address,1740240974,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-918a-6-7l-fx4/1740240974,0.5008680469413289,Kijiji
8,2016,Ford,F-350,lariat,3,43680,No change noted,Unchanged for 9 weeks,9,43680,43680,0,0,216452,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",274,address,1737928701,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-6-7l-aftermarket/1737928701,0.5151872827957065,Kijiji
9,2019,Ford,F-350,fx4,3,45900,No change noted,Unchanged for 5 weeks,5,45900,45900,0,0,176500,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",274,address,1738744925,https://www.kijiji.ca/v-cars-trucks/nanaimo/2019-ford-f350-6-7l-diesel/1738744925,0.515447444268585,Kijiji
10,2017,Ford,F-350,lariat,3,44995,No change noted,Unchanged for 2 weeks,2,44995,44995,0,0,252787,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739835301,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-super-duty-f-350-srw-lariat-6-7l-powerstroke-long/1739835301,0.5188838051912297,Kijiji
