evidence_schema_version,vehicle_key,source,canonical_listing_id,observation_id,source_listing_id,source_listing_id_status,source_claim_status,raw_record_ref,normalized_record_ref,ranking_status,review_status,collection_status,data_quality_status,quality_warnings,source_run_status,source_completed_at_utc,year,year_evidence_status,make,make_evidence_status,model,model_evidence_status,trim,trim_evidence_status,price_cad,price_evidence_status,mileage_km,mileage_evidence_status,engine,engine_evidence_status,fuel,fuel_evidence_status,accident_claim,accident_evidence_status,dealer,dealer_evidence_status,seller_type_claim,seller_type_evidence_status,dealer_address,dealer_address_evidence_status,location,location_evidence_status,unverified_location_value,distance_km,distance_evidence_status,distance_method,url_region_hint,url_region_evidence_status,listing_url,listing_url_evidence_status,observation_count,first_observed_price_cad,previous_observation_price_cad,change_from_previous_observation_cad,change_from_first_observation_cad,source_price_history_text,legacy_trend_text,days_on_market_claim
1,ford_f350,autotrader,listing_ea8cb69803b03ede4ee84dca,observation_5581a591ee6e285a4109fef6,df5009b2-d956-4e13-9ca1-5e27c1dbb886,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=10,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=10,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2019,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,LARIAT ULTIMATE FX4 | QUAD BEAMS | NAV | REM START,source_reported_unverified,55995,source_reported_unverified,178867,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Boundary Ford Sales,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"2502-50th Avenue, Lloydminster, SK, T9V2S3",source_reported_not_independently_verified,"Lloydminster, SK",source_reported_not_independently_verified,,368.0,legacy_method_not_yet_disambiguated,city_center,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-ultimate-fx4-quad-beams-nav-rem-start-diesel-black-cat_ma29gr18389-df5009b2-d956-4e13-9ca1-5e27c1dbb886,source_reported_unverified,3,55000,55995,0,995,No change noted,Up $995 over 3 weeks,
1,ford_f350,autotrader,listing_3d4432d32a1c64e2eaf8d9af,observation_3467363c6c71c9730266f7c3,e1f49dc2-f041-42a6-a794-b977b9555c8d,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=11,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=11,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2020,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,PLATINUM SUPER DUTY | 6.7 POWERSTROKE | 4X4,source_reported_unverified,59999,source_reported_unverified,192915,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Big 4 Motors Chrysler Dodge Jeep Ram,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"5905 Weaselhead Rd, CALGARY, AB, T3T 0E5",source_reported_not_independently_verified,"CALGARY, AB",source_reported_not_independently_verified,,169.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-platinum-super-duty-6-7-powerstroke-4x4-diesel-cat_ma29gr18389-e1f49dc2-f041-42a6-a794-b977b9555c8d,source_reported_unverified,2,59999,59999,0,0,"Reduced from $ 61,999,-",Unchanged for 2 weeks,
1,ford_f350,autotrader,listing_8a2b27261ea34d76ef2e4cc3,observation_d2556374b56dc4d904872eaa,8160d3ee-c260-4ab4-a505-21c7fab313af,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=14,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=14,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2020,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,XLT | POWER SEAT | 4X4 | DUALLY | 6.7 DIESEL | BLU,source_reported_unverified,59350,source_reported_unverified,161269,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Stampede Auto,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"2520 Centre Ave, Calgary, AB, T2A 2L2",source_reported_not_independently_verified,"Calgary, AB",source_reported_not_independently_verified,,147.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-power-seat-4x4-dually-6-7-diesel-blu-diesel-white-cat_ma29gr18389tr11376-8160d3ee-c260-4ab4-a505-21c7fab313af,source_reported_unverified,4,59999,59750,-400,-649,No change noted,Down $649 over 4 weeks,
1,ford_f350,autotrader,listing_952e672f0e0ed51251b929af,observation_fce6cc2dc2d21e9c292520a1,66023948-9856-408f-9d89-ef3af203b41e,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=13,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=13,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2020,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,Lariat,source_reported_unverified,58000,source_reported_unverified,230000,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,,unknown,Dealer,source_reported_or_inferred_unverified,,unknown,"PICTURE BUTTE, AB",source_reported_not_independently_verified,,345.0,legacy_method_not_yet_disambiguated,city_center,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-diesel-blue-cat_ma29gr18389-66023948-9856-408f-9d89-ef3af203b41e,source_reported_unverified,4,58000,58000,0,0,No change noted,Unchanged for 4 weeks,
1,ford_f350,autotrader,listing_9f9df603a2907e09987b4799,observation_614533f59fc93462fb7f4b39,f3f0fa04-ee45-4ec6-a3da-943428986b03,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=1,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=1,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2020,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,XLT,source_reported_unverified,29995,source_reported_unverified,202032,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Auto Hub,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"9232 Horton Road SW, Calgary, AB, T2V2X4",source_reported_not_independently_verified,"Calgary, AB",source_reported_not_independently_verified,,158.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-diesel-brown-cat_ma29gr18389tr11376-f3f0fa04-ee45-4ec6-a3da-943428986b03,source_reported_unverified,0,29995,29995,0,0,No change noted,First seen this week,
1,ford_f350,autotrader,listing_219c5855616b2287b69a74a2,observation_1c2058b79ff5faff21e9b1e8,e100237c-6e41-457b-9bcb-ab9ad8b01322,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=6,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=6,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2021,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,XLT 613A FX4 OFF-ROAD | FOG LAMPS | RUNNING BOARDS,source_reported_unverified,55995,source_reported_unverified,160037,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Maclin Ford,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"135 Glendeer Circle S.E. Calgary Auto Mall, CALGARY, AB, T2H 2S8",source_reported_not_independently_verified,"CALGARY, AB",source_reported_not_independently_verified,,149.0,legacy_method_not_yet_disambiguated,city_center,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-613a-fx4-off-road-fog-lamps-running-boards-diesel-white-cat_ma29gr18389-e100237c-6e41-457b-9bcb-ab9ad8b01322,source_reported_unverified,0,55995,55995,0,0,No change noted,First seen this week,
1,ford_f350,autotrader,listing_8b8a2a5f1787572549e6a46e,observation_3da0fb4cee41da62904d794a,c97da2ff-a5b5-4d23-bc23-3cc48497c08a,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=9,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=9,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2021,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,GREAT VALUE RIDE! LARIAT 6.7L V8 TURBO DIESEL 4WD,source_reported_unverified,59999,source_reported_unverified,161436,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Go Auto Outlet Yellowhead,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"13072 Yellowhead Trail, Edmonton, AB, T5L 3C1",source_reported_not_independently_verified,"Edmonton, AB",source_reported_not_independently_verified,,172.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-great-value-ride-lariat-6-7l-v8-turbo-diesel-4wd-diesel-black-cat_ma29gr18389tr11371-c97da2ff-a5b5-4d23-bc23-3cc48497c08a,source_reported_unverified,1,59999,59999,0,0,No change noted,Unchanged for 1 weeks,
1,ford_f350,autotrader,listing_3d24edf8885818477b0a667a,observation_da1ca8c1387de91b357a2ac9,7be24c55-1770-40d3-a558-4691a6779b15,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=8,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=8,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2022,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,XLT CrewCab 176 | Tow Pkg | SYNC 3 | Upfitter Swit,source_reported_unverified,55000,source_reported_unverified,102000,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Waterloo Ford,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5",source_reported_not_independently_verified,"Edmonton, AB",source_reported_not_independently_verified,,156.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-crewcab-176-tow-pkg-sync-3-upfitter-swit-diesel-white-cat_ma29gr18389tr11376-7be24c55-1770-40d3-a558-4691a6779b15,source_reported_unverified,5,58000,55000,0,-3000,No change noted,"Down $3,000 over 5 weeks",
1,ford_f350,autotrader,listing_6b95b9ad81e63afd547d9a28,observation_a700c3e9baf625011cfab780,6158fca0-ee78-4abd-9688-15d56a5ea48b,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=19,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=19,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2022,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,Lariat | 4WD | Diesel | Nav | Remote Start,source_reported_unverified,59995,source_reported_unverified,195120,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Subaru of Prince George,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"105 Brunswick St, Prince George, BC, V2L 2B2",source_reported_not_independently_verified,"Prince George, BC",source_reported_not_independently_verified,,784.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-4wd-diesel-nav-remote-start-diesel-grey-cat_ma29gr18389-6158fca0-ee78-4abd-9688-15d56a5ea48b,source_reported_unverified,3,59900,59995,0,95,No change noted,Up $95 over 3 weeks,
1,ford_f350,autotrader,listing_d62e2aced752b83a73687f81,observation_15a403b03b5e206b8e8f7510,ccd00ec6-14e6-4dce-a6df-e8e395126613,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=15,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=15,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2022,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,LARIAT 4x4 Diesel 6.7L Powerstroke,source_reported_unverified,53995,source_reported_unverified,251000,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Start N Go Auto,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3",source_reported_not_independently_verified,"Saskatoon, SK",source_reported_not_independently_verified,,539.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-4x4-diesel-6-7l-powerstroke-diesel-black-cat_ma29gr18389tr11371-ccd00ec6-14e6-4dce-a6df-e8e395126613,source_reported_unverified,3,53995,53995,0,0,No change noted,Unchanged for 3 weeks,
