ranking_status,review_status,source_run_status,source_completed_at_utc,location_status,distance_status,unverified_location_value,unverified_distance_value,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,source
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2019,Ford,F 350,LARIAT ULTIMATE FX4 | QUAD BEAMS | NAV | REM START,3,55995,No change noted,Up $995 over 2 weeks,2,55000,54995,1000,995,178867,6.7L,Diesel,Unknown,N/A,Boundary Ford Sales,Dealer,"2502-50th Avenue, Lloydminster, SK, T9V2S3","Lloydminster, SK",368,city_center,df5009b2-d956-4e13-9ca1-5e27c1dbb886,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-ultimate-fx4-quad-beams-nav-rem-start-diesel-black-cat_ma29gr18389-df5009b2-d956-4e13-9ca1-5e27c1dbb886,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2019,Ford,F 350,,1,52998,No change noted,Unchanged for 6 weeks,6,52998,52998,0,0,192000,6.7L,Diesel,Unknown,N/A,Cypress Motors MC,Dealer,"214 Jasper Street, MAPLE CREEK, SK, S0N 1N0","MAPLE CREEK, SK",509,address,fa35b649-c62f-4da4-9703-aad5b99bf5bc,https://www.autotrader.ca/offers/ford-f-350-super-duty-diesel-cat_ma29gr18389-fa35b649-c62f-4da4-9703-aad5b99bf5bc,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2020,Ford,F 350,Lariat,3,58000,No change noted,Unchanged for 3 weeks,3,58000,58000,0,0,230000,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,"PICTURE BUTTE, AB",345,city_center,66023948-9856-408f-9d89-ef3af203b41e,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-diesel-blue-cat_ma29gr18389-66023948-9856-408f-9d89-ef3af203b41e,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2020,Ford,F 350,XLT | POWER SEAT | 4X4 | DUALLY | 6.7 DIESEL | BLU,2,59350,No change noted,Down $649 over 4 weeks,4,59999,59750,-400,-649,161269,6.7L,Diesel,Unknown,N/A,Stampede Auto,Dealer,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,8160d3ee-c260-4ab4-a505-21c7fab313af,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-power-seat-4x4-dually-6-7-diesel-blu-diesel-white-cat_ma29gr18389tr11376-8160d3ee-c260-4ab4-a505-21c7fab313af,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2020,Ford,F 350,PLATINUM SUPER DUTY | 6.7 POWERSTROKE | 4X4,3,59999,"Reduced from $ 61,999,-",Unchanged for 1 weeks,1,59999,59999,0,0,192915,6.7L,Diesel,Unknown,N/A,Big 4 Motors Chrysler Dodge Jeep Ram,Dealer,"5905 Weaselhead Rd, CALGARY, AB, T3T 0E5","CALGARY, AB",169,address,e1f49dc2-f041-42a6-a794-b977b9555c8d,https://www.autotrader.ca/offers/ford-f-350-super-duty-platinum-super-duty-6-7-powerstroke-4x4-diesel-cat_ma29gr18389-e1f49dc2-f041-42a6-a794-b977b9555c8d,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2021,Ford,F 350,GREAT VALUE RIDE! LARIAT 6.7L V8 TURBO DIESEL 4WD,3,59999,No change noted,First seen this week,0,59999,59999,0,0,161436,6.7L,Diesel,Unknown,N/A,Go Auto Outlet Yellowhead,Dealer,"13072 Yellowhead Trail, Edmonton, AB, T5L 3C1","Edmonton, AB",172,address,c97da2ff-a5b5-4d23-bc23-3cc48497c08a,https://www.autotrader.ca/offers/ford-f-350-super-duty-great-value-ride-lariat-6-7l-v8-turbo-diesel-4wd-diesel-black-cat_ma29gr18389tr11371-c97da2ff-a5b5-4d23-bc23-3cc48497c08a,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2021,Ford,F 350,XLT 613A FX4 OFF-ROAD | FOG LAMPS | RUNNING BOARDS,3,55995,No change noted,First seen this week,0,55995,55995,0,0,160037,6.7L,Diesel,Unknown,N/A,Maclin Ford,Dealer,"135 Glendeer Circle S.E. Calgary Auto Mall, CALGARY, AB, T2H 2S8","CALGARY, AB",149,city_center,e100237c-6e41-457b-9bcb-ab9ad8b01322,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-613a-fx4-off-road-fog-lamps-running-boards-diesel-grey-cat_ma29gr18389-e100237c-6e41-457b-9bcb-ab9ad8b01322,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2022,Ford,F 350,Lariat | 4WD | Diesel | Nav | Remote Start,3,59995,No change noted,Up $95 over 2 weeks,2,59900,59995,0,95,195120,6.7L,Diesel,Unknown,N/A,Subaru of Prince George,Dealer,"105 Brunswick St, Prince George, BC, V2L 2B2","Prince George, BC",784,address,6158fca0-ee78-4abd-9688-15d56a5ea48b,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-4wd-diesel-nav-remote-start-diesel-grey-cat_ma29gr18389-6158fca0-ee78-4abd-9688-15d56a5ea48b,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2022,Ford,F 350,XLT CrewCab 176 | Tow Pkg | SYNC 3 | Upfitter Swit,2,55000,No change noted,"Down $3,000 over 4 weeks",4,58000,55000,0,-3000,102000,6.7L,Diesel,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",156,address,7be24c55-1770-40d3-a558-4691a6779b15,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-crewcab-176-tow-pkg-sync-3-upfitter-swit-diesel-white-cat_ma29gr18389tr11376-7be24c55-1770-40d3-a558-4691a6779b15,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2022,Ford,F 350,LARIAT 4x4 Diesel 6.7L Powerstroke,3,53995,No change noted,Unchanged for 2 weeks,2,53995,53995,0,0,251000,6.7L,Diesel,Unknown,N/A,Start N Go Auto,Dealer,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3","Saskatoon, SK",539,address,ccd00ec6-14e6-4dce-a6df-e8e395126613,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-4x4-diesel-6-7l-powerstroke-diesel-black-cat_ma29gr18389tr11371-ccd00ec6-14e6-4dce-a6df-e8e395126613,AutoTrader
