rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2015,Ford,F 350,LARIAT,3,25970,"Reduced from $ 29,961,-",Unchanged for 2 weeks,2,25970,25970,0,0,212007,6.7L,Diesel,No accidents reported,N/A,Legacy Dodge Chrysler Jeep Ram,Dealer,"324 Gregoire Drive, FORT MCMURRAY, AB, T9H 3R2","FORT MCMURRAY, AB",587,address,c57baf22-81c9-4cb6-b00b-5e0fda6c52e3,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-diesel-black-cat_ma29gr18389tr11371-c57baf22-81c9-4cb6-b00b-5e0fda6c52e3,0.4419011620631454,AutoTrader
2,2015,Ford,F 350,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,3,31900,No change noted,Unchanged for 1 weeks,1,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Stampede Auto,Dealer,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-6-7l-diesel-crew-cab-4x4-diesel-white-cat_ma29gr18389tr11371-7ed630d0-56dd-4703-a19d-c2fab5ad6e14,0.445400874715801,AutoTrader
3,2018,Ford,F 350,Lariat| Preferred Equipment Group 618A| 6.7L V8 Di,3,29997,No change noted,First seen this week,0,29997,29997,0,0,372119,6.7L,Diesel,Unknown,N/A,Kentwood Ford,Dealer,"13344 - 97 St., EDMONTON, AB, T5E 1Y8","EDMONTON, AB",160,address,34092e65-20c4-4d19-b2d5-0159c45c51a9,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-preferred-equipment-group-618a-6-7l-v8-di-diesel-white-cat_ma29gr18389tr11371-34092e65-20c4-4d19-b2d5-0159c45c51a9,0.4804506073319667,AutoTrader
4,2019,Ford,F 350,LARIAT,3,46500,No change noted,First seen this week,0,46500,46500,0,0,140673,6.7L,Diesel,Unknown,N/A,Regal Auctions Ltd,Dealer,"2600 - 7th Avenue N.E., CALGARY, AB, T2A2L8","CALGARY, AB",149,city_center,856ea766-bb57-4c2b-bdfc-19ae761c8b91,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-diesel-silver-cat_ma29gr18389tr11376-856ea766-bb57-4c2b-bdfc-19ae761c8b91,0.49154619709404646,AutoTrader
5,2018,Ford,F 350,Platinum 4WD Crew Cab 6.75' Box,3,40500,No change noted,Unchanged for 2 weeks,2,40500,40500,0,0,319482,6.7L,Diesel,Unknown,N/A,Mr. Motors,Dealer,"747445 50th Ave, Red Deer, AB, T4P1M5","Red Deer, AB",1,city_center,87ef6be5-e9e4-4b6e-82b4-1f417d058cf0,https://www.autotrader.ca/offers/ford-f-350-super-duty-platinum-4wd-crew-cab-6-75-box-diesel-white-cat_ma29gr18389tr11374-87ef6be5-e9e4-4b6e-82b4-1f417d058cf0,0.5095288855549107,AutoTrader
6,2016,Ford,F 350,Lariat Ultimate 6.7L | Aftermarket Front Bumper,3,43680,No change noted,Unchanged for 1 weeks,1,43680,43680,0,0,216452,6.7L,Diesel,Unknown,N/A,Sherwood Buick GMC,Dealer,"10 Automall Road, SHERWOOD PARK, AB, T8H 2N1","SHERWOOD PARK, AB",162,address,6630b17b-d443-434d-bab6-1edbb20baad3,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-ultimate-6-7l-aftermarket-front-bumper-diesel-red-cat_ma29gr18389tr11371-6630b17b-d443-434d-bab6-1edbb20baad3,0.5112339088873028,AutoTrader
7,2016,Ford,F 350,King Ranch 6.7L | Tuned & Deleted,3,49780,No change noted,Unchanged for 1 weeks,1,49780,49780,0,0,178123,6.7L,Diesel,Unknown,N/A,Sherwood Park Chevrolet,Dealer,"500 Premier Way, SHERWOOD PARK, AB, T8H 0R5","SHERWOOD PARK, AB",164,address,e564a526-6f26-487c-8fe2-3d3e587564d3,https://www.autotrader.ca/offers/ford-f-350-super-duty-king-ranch-6-7l-tuned-deleted-diesel-red-cat_ma29gr18389tr11370-e564a526-6f26-487c-8fe2-3d3e587564d3,0.5418660833051092,AutoTrader
8,2020,Ford,F 350,LARIAT 4WD Crew Cab 8' Box,3,44995,No change noted,First seen this week,0,44995,44995,0,0,261806,6.7L,Diesel,Unknown,N/A,Double L Motors,Dealer,"1509 - 9 Avenue SE, Calgary, AB, T2G0T6","Calgary, AB",149,address,40199518-c0e4-4aa4-9819-190b636e38a0,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-4wd-crew-cab-8-box-diesel-cat_ma29gr18389tr11371-40199518-c0e4-4aa4-9819-190b636e38a0,0.5441041633409711,AutoTrader
9,2020,Ford,F 350,XLT FX4 Crew 4x4 Diesel Rear Camera Trailer Tow Fr,3,55998,No change noted,Up $300 over 2 weeks,2,55698,55698,300,300,104589,6.7L,Diesel,Accident reported,N/A,Parkland Chrysler Dodge Jeep Ram,Dealer,"200 St. Matthews Ave, SPRUCE GROVE, AB, T7X 3A6","SPRUCE GROVE, AB",172,address,180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-fx4-crew-4x4-diesel-rear-camera-trailer-tow-fr-diesel-white-cat_ma29gr18389tr11376-180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d,0.5556998420994758,AutoTrader
10,2018,Ford,F 350,PLATINUM | FENDER FLARES | PUSH BUMPER | LED LIGHT,3,49990,No change noted,First seen this week,0,49990,49990,0,0,212751,6.7L,Diesel,Unknown,N/A,Maclin Ford,Dealer,"135 Glendeer Circle S.E. Calgary Auto Mall, CALGARY, AB, T2H 2S8","CALGARY, AB",149,city_center,1cc17c85-b473-4537-a780-c0ad7e493f41,https://www.autotrader.ca/offers/ford-f-350-super-duty-platinum-fender-flares-push-bumper-led-light-diesel-black-cat_ma29gr18389tr11374-1cc17c85-b473-4537-a780-c0ad7e493f41,0.5593799038319315,AutoTrader
