rank,year,make,model,trim,price,mileage,engine,fuel,dealer,dealer_address,location,distance_km,distance_method,listing_id,url,score
1,2015,Ford,F 350,LARIAT,25970,212007,6.7L,Diesel,Legacy Dodge Chrysler Jeep Ram,"324 Gregoire Drive, FORT MCMURRAY, AB, T9H3R2","FORT MCMURRAY, AB",587,address,c57baf22-81c9-4cb6-b00b-5e0fda6c52e3,https://www.autotrader.ca/a/ford/f-350/c57baf22-81c9-4cb6-b00b-5e0fda6c52e3/,0.5368369073150487
2,2016,Ford,F 350,XLT | 6.7L DIESEL | CREW CAB | 4WD | BED LINER,30900,275563,6.7L,Diesel,Stampede Auto,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,5d62f35e-2a28-479f-bdab-6a9bc1b677bd,https://www.autotrader.ca/a/ford/f-350/5d62f35e-2a28-479f-bdab-6a9bc1b677bd/,0.5535521526146634
3,2015,Ford,F 350,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,31900,281981,6.7L,Diesel,Stampede Auto,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,https://www.autotrader.ca/a/ford/f-350/7ed630d0-56dd-4703-a19d-c2fab5ad6e14/,0.5686077186337896
4,2021,Ford,F 350,XLT,44588,181137,6.7L,Diesel,MGM Ford Lincoln Sales,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,3b1df4a3-5711-4219-831d-2e3f8c92eb4c,https://www.autotrader.ca/a/ford/f-350/3b1df4a3-5711-4219-831d-2e3f8c92eb4c/,0.5889025288726102
5,2019,Ford,F 350,XLT,48395,155773,6.7L,Diesel,MGM Ford Lincoln Sales,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,891d5b65-57c8-4f1a-be1a-fc5b43145b3d,https://www.autotrader.ca/a/ford/f-350/891d5b65-57c8-4f1a-be1a-fc5b43145b3d/,0.6070640710662846
6,2016,Ford,F 350,4WD Crew Cab 6-3/4 Ft Box XLT,34702,175637,6.7L,Diesel,Velocity Ford,"661 Thatcher Dr E, Moose Jaw, SK, S6J 1L8","Moose Jaw, SK",799,city_center,c6904aa7-26d8-4216-8377-27496cfb020b,https://www.autotrader.ca/a/ford/f-350/c6904aa7-26d8-4216-8377-27496cfb020b/,0.6354395100551561
7,2022,Ford,F 350,XLT,49888,178448,6.7L,Diesel,Adrenalin Motors,"3-Hwy 20, Sylvan Lake, AB, T4S 1Z7","Sylvan Lake, AB",23,address,bdecfc30-c615-4bb6-9900-622d90fa06ca,https://www.autotrader.ca/a/ford/f-350/bdecfc30-c615-4bb6-9900-622d90fa06ca/,0.6439669933329951
8,2018,Ford,F 350,XLT // NO ACCIDENTS // DELETED,25997,317950,6.7L,Diesel,Rivershore Chrysler Dodge Jeep,"2477 Trans-Canada Hwy, Kamloops, BC, V2C4A9","Kamloops, BC",751,address,b9249fc6-2d12-452b-8911-9bd123f97fb7,https://www.autotrader.ca/a/ford/f-350/b9249fc6-2d12-452b-8911-9bd123f97fb7/,0.6511972604006739
9,2020,Ford,F 350,XLT,49909,163258,6.7L,Diesel,West Edmonton Volkswagen,"10220 170 St NW, Edmonton, AB, T5S 1N9","Edmonton, AB",164,address,ca846425-595d-44b3-840b-d2f6a12cb6ba,https://www.autotrader.ca/a/ford/f-350/ca846425-595d-44b3-840b-d2f6a12cb6ba/,0.6587040724049976
10,2016,Ford,F 350,King Ranch 6.7L | Tuned & Deleted,49780,178123,6.7L,Diesel,Sherwood Park Chevrolet,"500 Premier Way, SHERWOOD PARK, AB, T8H0R5","SHERWOOD PARK, AB",164,address,e564a526-6f26-487c-8fe2-3d3e587564d3,https://www.autotrader.ca/a/ford/f-350/e564a526-6f26-487c-8fe2-3d3e587564d3/,0.6691010473355345
11,2020,Ford,F 350,XLT FX4 Crew 4x4 Diesel Rear Camera Trailer Tow Fr,55698,104589,6.7L,Diesel,Parkland Chrysler Dodge Jeep Ram,"200 St. Matthews Ave, SPRUCE GROVE, AB, T7X3A6","SPRUCE GROVE, AB",172,address,180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d,https://www.autotrader.ca/a/ford/f-350/180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d/,0.6720183833486522
