rank,year,make,model,trim,price,mileage,engine,fuel,dealer,dealer_address,location,distance_km,distance_method,listing_id,url,score
1,2016,Ford,F 350,XLT | 6.7L DIESEL | CREW CAB | 4WD | BED LINER,30900,Unknown,6.7L,Diesel,Stampede Auto,,"Calgary, AB",149,city_center,5d62f35e-2a28-479f-bdab-6a9bc1b677bd,https://www.autotrader.ca/a/ford/f-350/5d62f35e-2a28-479f-bdab-6a9bc1b677bd/,0.5872559754660378
2,2015,Ford,F 350,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,31900,Unknown,6.7L,Diesel,Stampede Auto,,"Calgary, AB",149,city_center,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,https://www.autotrader.ca/a/ford/f-350/7ed630d0-56dd-4703-a19d-c2fab5ad6e14/,0.597265150543192
3,2015,Ford,F 350,LARIAT,25970,Unknown,6.7L,Diesel,Legacy Dodge Chrysler Jeep Ram,,"FORT MCMURRAY, AB",593,city_center,c57baf22-81c9-4cb6-b00b-5e0fda6c52e3,https://www.autotrader.ca/a/ford/f-350/c57baf22-81c9-4cb6-b00b-5e0fda6c52e3/,0.6212649350765945
4,2018,Ford,F 350,XLT // NO ACCIDENTS // DELETED,25997,Unknown,6.7L,Diesel,Rivershore Chrysler Dodge Jeep,,"Kamloops, BC",757,city_center,b9249fc6-2d12-452b-8911-9bd123f97fb7,https://www.autotrader.ca/a/ford/f-350/b9249fc6-2d12-452b-8911-9bd123f97fb7/,0.6523236684106865
5,2021,Ford,F 350,XLT,44588,Unknown,6.7L,Diesel,MGM Ford Lincoln Sales,,"RED DEER, AB",1,city_center,3b1df4a3-5711-4219-831d-2e3f8c92eb4c,https://www.autotrader.ca/a/ford/f-350/3b1df4a3-5711-4219-831d-2e3f8c92eb4c/,0.6964768330084805
6,2019,Ford,F 350,XLT,48395,Unknown,6.7L,Diesel,MGM Ford Lincoln Sales,,"RED DEER, AB",1,city_center,891d5b65-57c8-4f1a-be1a-fc5b43145b3d,https://www.autotrader.ca/a/ford/f-350/891d5b65-57c8-4f1a-be1a-fc5b43145b3d/,0.7345817625272061
7,2016,Ford,F 350,4WD Crew Cab 6-3/4 Ft Box XLT,34702,Unknown,6.7L,Diesel,Velocity Ford,,"Moose Jaw, SK",799,city_center,c6904aa7-26d8-4216-8377-27496cfb020b,https://www.autotrader.ca/a/ford/f-350/c6904aa7-26d8-4216-8377-27496cfb020b/,0.7473383935274002
8,2019,Ford,F 350,XLT,37995,Unknown,6.7L,Diesel,Cypress Motors SC,,"SWIFT CURRENT, SK",628,city_center,41c2a9bf-09b9-469e-95a3-c19cd5b45d47,https://www.autotrader.ca/a/ford/f-350/41c2a9bf-09b9-469e-95a3-c19cd5b45d47/,0.7481959787711118
9,2016,Ford,F 350,Lariat  HEATED LEATHER SEATS - 6.7L DIESEL ENGINE,46993,Unknown,6.7L,Diesel,Northstar Ford Calgary,,"CALGARY, AB",149,city_center,d4ace724-5b71-4d5a-8b26-fc3bd706e44f,https://www.autotrader.ca/a/ford/f-350/d4ace724-5b71-4d5a-8b26-fc3bd706e44f/,0.7483336299826782
10,2022,Ford,F 350,XLT,49888,Unknown,6.7L,Diesel,Adrenalin Motors,,"Sylvan Lake, AB",25,city_center,bdecfc30-c615-4bb6-9900-622d90fa06ca,https://www.autotrader.ca/a/ford/f-350/bdecfc30-c615-4bb6-9900-622d90fa06ca/,0.7540310929574471
11,2020,Ford,F 350,XLT,49909,Unknown,6.7L,Diesel,West Edmonton Volkswagen,,"Edmonton, AB",154,city_center,ca846425-595d-44b3-840b-d2f6a12cb6ba,https://www.autotrader.ca/a/ford/f-350/ca846425-595d-44b3-840b-d2f6a12cb6ba/,0.7784590578493364
12,2016,Ford,F 350,King Ranch 6.7L | Tuned & Deleted,49780,Unknown,6.7L,Diesel,Sherwood Park Chevrolet,,"SHERWOOD PARK, AB",162,city_center,e564a526-6f26-487c-8fe2-3d3e587564d3,https://www.autotrader.ca/a/ford/f-350/e564a526-6f26-487c-8fe2-3d3e587564d3/,0.7786697516110669
13,2021,Ford,F 350,Platinum 4WD Crew Cab 6.75' Box,52339,Unknown,6.7L,Diesel,Canada Auto Remarketing Superstore,,"Edmonton, AB",154,city_center,47bbe51f-2969-45c8-8956-124ea95b7f3a,https://www.autotrader.ca/a/ford/f-350/47bbe51f-2969-45c8-8956-124ea95b7f3a/,0.8027813532868208
14,2021,Ford,F 350,LARIAT LEATHER NAV PANO 5TH WHEEL PREP 8' BOX,54995,Unknown,6.7L,Diesel,Auto Hub,,"Calgary, AB",149,city_center,19d5d1f0-2beb-47df-bd3e-54d44ec032d7,https://www.autotrader.ca/a/ford/f-350/19d5d1f0-2beb-47df-bd3e-54d44ec032d7/,0.8284270489500649
15,2020,Ford,F 350,"XLT LARIAT ULTIMATE PACKAGE, AFTERMARKET RIMS, QUA",56888,Unknown,6.7L,Diesel,Cam Clark Ford Olds,,"OLDS, AB",63,city_center,16d53fb8-ff69-4620-82e8-9582e959acbd,https://www.autotrader.ca/a/ford/f-350/16d53fb8-ff69-4620-82e8-9582e959acbd/,0.8312292358942714
16,2020,Ford,F 350,,50596,Unknown,6.7L,Diesel,Sun Valley Honda,,"Medicine Hat, AB",406,city_center,05179af1-420d-4358-8982-a1f5eecd9336,https://www.autotrader.ca/a/ford/f-350/05179af1-420d-4358-8982-a1f5eecd9336/,0.8326444975478668
17,2022,Ford,F 350,XLT 4WD Crew Cab DRW 8' Box,55990,Unknown,6.7L,Diesel,Xtreme Auto and Truck Sales Ltd Barlow,,"Calgary, AB",149,city_center,6f354b42-2d94-4bf2-8884-8ac5569f4d96,https://www.autotrader.ca/a/ford/f-350/6f354b42-2d94-4bf2-8884-8ac5569f4d96/,0.8383861781518333
18,2022,Ford,F 350,XLT FX4 6.7L Powerstroke | Heated Seats,55980,Unknown,6.7L,Diesel,Sherwood Park Chevrolet,,"SHERWOOD PARK, AB",162,city_center,872b20c5-35ea-426c-95cd-fece602381c9,https://www.autotrader.ca/a/ford/f-350/872b20c5-35ea-426c-95cd-fece602381c9/,0.840726637089422
19,2020,Ford,F 350,XLT FX4 Crew 4x4 Diesel Rear Camera Trailer Tow Fr,55698,Unknown,6.7L,Diesel,Parkland Chrysler Dodge Jeep Ram,,"SPRUCE GROVE, AB",178,city_center,180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d,https://www.autotrader.ca/a/ford/f-350/180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d/,0.8409078044110314
20,2020,Ford,F 350,LARIAT | 6.7L POWERSTROKE | DELETED | 618A | TREMO,56695,Unknown,6.7L,Diesel,Shaw GMC Chevrolet Buick Inc.,,"CALGARY, AB",149,city_center,dfe2ddce-a578-45cb-8632-f44c055eee47,https://www.autotrader.ca/a/ford/f-350/dfe2ddce-a578-45cb-8632-f44c055eee47/,0.8454426465812268
21,2020,Ford,F 350,SRW,58992,Unknown,6.7L,Diesel,Legacy Auto Super Centre,,"Wetaskiwin, AB",102,city_center,cedfcdda-0629-4777-bd1c-e24916a15302,https://www.autotrader.ca/a/ford/f-350/cedfcdda-0629-4777-bd1c-e24916a15302/,0.8596101923216849
22,2022,Ford,F 350,XLT - REMOTE START BACKUP CAM,57998,Unknown,6.7L,Diesel,Okotoks Chevrolet Buick GMC Ltd.,,"OKOTOKS, AB",187,city_center,b1a9c330-1114-441d-8353-d97b5a58dc2a,https://www.autotrader.ca/a/ford/f-350/b1a9c330-1114-441d-8353-d97b5a58dc2a/,0.8656185191035044
23,2020,Ford,F 350,Lariat 6.7L Diesel/Touch Nav/Pano/Camera,59945,Unknown,6.7L,Diesel,D&D Vehicle Sales Inc,,"CAMROSE, AB",141,city_center,561ac945-5cf4-4d75-a9c9-644082c26e32,https://www.autotrader.ca/a/ford/f-350/561ac945-5cf4-4d75-a9c9-644082c26e32/,0.8764705882352941
24,2017,Ford,F 350,"Lariat, Lifted, Rim & Tire Package, Deleted, Lots",47655,Unknown,6.7L,Diesel,Velocity Ford,,"Moose Jaw, SK",799,city_center,82a3bbbf-1fee-4d14-89a7-ec5c4561be20,https://www.autotrader.ca/a/ford/f-350/82a3bbbf-1fee-4d14-89a7-ec5c4561be20/,0.8769872383017766
25,2017,Ford,F 350,XLT 4WD | DIESEL | BLUE TOOTH | BACK UP CAM |,47995,Unknown,6.7L,Diesel,OLYMPIC SUPER CENTER,,"REGINA, SK",786,city_center,979da06e-acd5-47f2-9e5a-c3548a514aee,https://www.autotrader.ca/a/ford/f-350/979da06e-acd5-47f2-9e5a-c3548a514aee/,0.8779498071396485
26,2022,Ford,F 350,"6.7L V8 Diesel, Long Box",56583,Unknown,6.7L,Diesel,Davis Dodge Lethbridge,,"LETHBRIDGE, AB",354,city_center,e3b5e1f9-82c5-40bd-96b0-d11a53ba8cc6,https://www.autotrader.ca/a/ford/f-350/e3b5e1f9-82c5-40bd-96b0-d11a53ba8cc6/,0.8828072259813464
27,2019,Ford,F 350,Lariat - 4x4 - 6.7L POWERSTROKE,57495,Unknown,6.7L,Diesel,Saskatoon Auto Connection,,"SASKATOON, SK",538,city_center,bf33ff5b-6d8c-4fa7-b700-8cc34b62b85d,https://www.autotrader.ca/a/ford/f-350/bf33ff5b-6d8c-4fa7-b700-8cc34b62b85d/,0.9264787726254282
28,2016,Ford,F 350,Lariat | DIESEL | LEATHER | RUNNING BOARDS |,52995,Unknown,6.7L,Diesel,OLYMPIC SUPER CENTER,,"REGINA, SK",786,city_center,a0104975-1347-4060-8187-516a9a6955b6,https://www.autotrader.ca/a/ford/f-350/a0104975-1347-4060-8187-516a9a6955b6/,0.9279956825254189
29,2016,Ford,F 350,Lariat Dually,57995,Unknown,6.7L,Diesel,Start N Go Auto,,"Saskatoon, SK",538,city_center,4c38dea0-b681-4ad3-a229-efbfcd3ea15f,https://www.autotrader.ca/a/ford/f-350/4c38dea0-b681-4ad3-a229-efbfcd3ea15f/,0.9314833601640051
30,2022,Ford,F 350,FORD F-350 SUPER DUTY | 4X4 | CREW CAB | POWER STR,53995,Unknown,6.7L,Diesel,Dearborn Ford,,"KAMLOOPS, BC",757,city_center,eb7609a3-e829-426b-b8de-3ce9586f8495,https://www.autotrader.ca/a/ford/f-350/eb7609a3-e829-426b-b8de-3ce9586f8495/,0.9325605522208458
31,2020,Ford,F 350,XLT Crew Cab,56403,Unknown,6.7L,Diesel,Velocity Ford,,"Moose Jaw, SK",799,city_center,22a8e54c-e6d9-4465-8ae2-1d7e93b16be2,https://www.autotrader.ca/a/ford/f-350/22a8e54c-e6d9-4465-8ae2-1d7e93b16be2/,0.9645475018767203
32,2020,Ford,F 350,PLATINUM | 4x4 | 6.7L POWER STROKE DIESEL | SD CRE,58995,Unknown,6.7L,Diesel,Dearborn Ford,,"KAMLOOPS, BC",757,city_center,a56c88be-7cac-4a6e-937b-16c2401ca2b1,https://www.autotrader.ca/a/ford/f-350/a56c88be-7cac-4a6e-937b-16c2401ca2b1/,0.9826064276066161
