rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
33,2023,Subaru,Forester,touring,3,28850,No change noted,108512,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735359697,https://www.kijiji.ca/v-cars-trucks/guelph/2023-subaru-forester-touring-awd-sunroof-adaptive-cruise/1735359697,0.473177304499967,Kijiji
34,2022,Subaru,Forester,touring,3,23500,No change noted,181500,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735280241,https://www.kijiji.ca/v-cars-trucks/fredericton/subaru-forester/1735280241,0.47389444554180227,Kijiji
35,2020,Subaru,Forester,limited,2,24890,No change noted,78358,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735710730,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-subaru-forester-2-5i-limited/1735710730,0.4744253158557244,Kijiji
36,2020,Subaru,Forester,limited,2,24890,No change noted,78358,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735711468,https://www.kijiji.ca/v-cars-trucks/bedford/2020-subaru-forester-2-5i-limited/1735711468,0.4744253158557244,Kijiji
37,2020,Subaru,Forester,limited,2,24890,No change noted,78358,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735711091,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-subaru-forester-2-5i-limited/1735711091,0.4744253158557244,Kijiji
38,2024,Subaru,Forester,touring,3,34990,No change noted,29886,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736726905,https://www.kijiji.ca/v-cars-trucks/bedford/2024-subaru-forester-touring/1736726905,0.47688972196020035,Kijiji
39,2024,Subaru,Forester,touring,3,34990,No change noted,29886,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736675503,https://www.kijiji.ca/v-cars-trucks/ottawa/2024-subaru-forester-touring/1736675503,0.47688972196020035,Kijiji
40,2024,Subaru,Forester,touring,3,34990,No change noted,29886,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736675431,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2024-subaru-forester-touring/1736675431,0.47688972196020035,Kijiji
41,2022,Subaru,Forester,sport,2,26908,No change noted,54481,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735400798,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-subaru-forester-sport-eyesight-cvt/1735400798,0.47737907719824524,Kijiji
42,2020,Subaru,Forester,convenience,1,15101,No change noted,128881,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736170035,https://www.kijiji.ca/v-cars-trucks/moncton/2020-subaru-forester-convenience-awd-heated-seats-as-traded/1736170035,0.47747317757466945,Kijiji
43,2023,Subaru,Forester,touring,3,31995,No change noted,78023,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1736553513,https://www.kijiji.ca/v-cars-trucks/calgary/2023-subaru-forester-touring-moonroof/1736553513,0.47817868024694576,Kijiji
44,2023,Subaru,Forester,wilderness,3,33993,No change noted,45262,2.5L,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1734101773,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2023-subaru-forester-wilderness-2-5l-sieges-chauff-carplay/1734101773,0.4785890900062487,Kijiji
45,2019,Subaru,Forester,sport,2,18990,No change noted,163000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737863577,https://www.kijiji.ca/v-cars-trucks/bedford/clean-carfax-we-can-finanncee-it/1737863577,0.4788788074233685,Kijiji
46,2019,Subaru,Forester,limited,2,23498,No change noted,102741,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Spruce Grove, AB","Spruce Grove, AB",178,address,1733736387,https://www.kijiji.ca/v-cars-trucks/banff-canmore/2019-subaru-forester-2-5i-limited-awd-coming-soon-clean-c/1733736387,0.4793704507053438,Kijiji
47,2020,Subaru,Forester,Unknown,1,19500,No change noted,72935,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736743538,https://www.kijiji.ca/v-cars-trucks/moncton/2020-subaru-forester/1736743538,0.480473170641203,Kijiji
48,2024,Subaru,Forester,touring,3,34998,No change noted,38475,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735305475,https://www.kijiji.ca/v-cars-trucks/guelph/2024-subaru-forester-touring-awd-sunroof-heated-seats/1735305475,0.48456424739593723,Kijiji
49,2023,Subaru,Forester,touring,3,27995,No change noted,137017,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1735350478,https://www.kijiji.ca/v-cars-trucks/kingston-on/2023-subaru-forester-touring-moonroof-eye-sight-package/1735350478,0.48815271905822955,Kijiji
50,2024,Subaru,Forester,touring,3,36733,No change noted,19859,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736604621,https://www.kijiji.ca/v-cars-trucks/thunder-bay/2024-subaru-forester-touring/1736604621,0.4887914841952474,Kijiji
